bill_number,session,title,status,primary_sponsors,intro_date,effective_date,chapter_num,companion,summary
A-1257,2024_2025,Tuition waivers-req for cert students impacted by automation in training courses,AHI,"Sauickie, Alex",2024-01-09,,,,Requires public institutions of higher education to enroll certain students impacted by automation in job training courses without payment of tuition.
A-1258,2024_2025,Tax credit-provide for employment of persons who have experienced job loss,ALA,"Sauickie, Alex",2024-01-09,,,S-3046,Provides corporation business and gross income tax credit for employment of persons who have experienced job loss due to automation.
A-1259,2024_2025,PFRS accidental disability/death pension-increases when caused by weapon,ASL,"Sauickie, Alex; Spearman, William W.",2024-01-09,,,S-3252,Increases PFRS accidental disability and accidental death pension when disability or death is caused by weapon.
A-1260,2024_2025,Death penalty-restores for certain murders,AJU,"Sauickie, Alex",2024-01-09,,,,Restores the death penalty for certain murders.
A-1261,2024_2025,Law enforcement-officers employed by edu. instit. may possess firearms on campus,AHI,"Sauickie, Alex",2024-01-09,,,S-3230,Clarifies that law enforcement officers employed by educational institutions may possess firearms on campus.
A-1262,2024_2025,Law enforcement officers-qualify for use of firearm once a year,AJU,"Sauickie, Alex; Murphy, Carol A.",2024-01-09,,,S-3233,Requires retired law enforcement officers to qualify in use of firearm once a year.
A-1263,2024_2025,"Law enforcement, assault on-upgrades penalty to second degree crime",AJU,"Sauickie, Alex",2024-01-09,,,,Upgrades penalty for assault on law enforcement to second degree crime under certain circumstances.
A-1264,2024_2025,Gang shoplifting-establishes crime,AJU,"Sauickie, Alex",2024-01-09,,,S-0582,Establishes crime of gang shoplifting.
A-1265,2024_2025,"Spitting in law enforce. off. food/drink-clarify, constitute aggravated assault",AJU,"Sauickie, Alex",2024-01-09,,,S-0407,Clarifies spitting in law enforcement officer's food or drink constitutes aggravated assault; requires certain sanctions on restaurant employees who commit this crime.
A-1266,2024_2025,"PFRS member, retired-permit surviving spouse pension benefit after remarriage",ASL,"Sauickie, Alex; Rodriguez, Gabriel; Kean, Sean T.",2024-01-09,,,S-3698,Permits surviving spouse of retired member of PFRS to be enrolled in SHBP and to continue to receive pension benefit after remarriage in certain circumstances.
A-1267,2024_2025,"Pretrial-restrict release, certain defendants; set conditions, certain offenders",AJU,"Sauickie, Alex; Webber, Jay",2024-01-09,,,,Restricts pretrial release of certain defendants; sets conditions for pretrial release of certain first-time offenders; requires revocation of pretrial release under certain circumstances.
A-1268,2024_2025,Organized Retail Theft Prosecution Unit-DLPS establishes,APS,"Sauickie, Alex; Scharfenberger, Gerry",2024-01-09,,,,Establishes Organized Retail Theft Prosecution Unit in DLPS.
A-1269,2024_2025,Fostering stolen property-establishes offense,AJU,"Sauickie, Alex",2024-01-09,,,,Establishes offense of fostering stolen property.
A-1270,2024_2025,"Disorderly persons theft-elevates to crime of fourth degree, second conviction",AJU,"Sauickie, Alex",2024-01-09,,,,Elevates disorderly persons theft to crime of fourth degree upon second conviction within two years.
A-1271,2024_2025,Assault of retail worker-increases penalties,AJU,"Sauickie, Alex",2024-01-09,,,,Increases penalties for assault of retail worker.
A-1272,2024_2025,"Court projects, certain-require State Auditor prepare annual performance audit",ASL,"Sauickie, Alex",2024-01-09,,,,Requires State Auditor to prepare annual performance audit on certain court projects; appropriates from General Fund.
A-1273,2024_2025,E-Verify program-prohibit employment of unauthorized aliens; employer req to use,ALA,"Sauickie, Alex",2024-01-09,,,S-4221,Prohibits the employment of unauthorized aliens and requires employers to use E-Verify program.
A-1274,2024_2025,Governor declarations-permit Legislature to terminate certain & limits duration,APS,"Sauickie, Alex",2024-01-09,,,S-1671,Permits Legislature to terminate certain declarations by Governor for state of emergency or public health emergency and limits duration of such declarations unless Legislature approves extension.
A-1275,2024_2025,"Elections, local-concerns noncitizens voting & local government officer conduct",ASL,"Sauickie, Alex",2024-01-09,,,S-2561,Concerning noncitizens voting in local elections and conduct in office by local government officers.
A-1276,2024_2025,Agricultural land-prohibit ownership by foreign governments and persons,ACE,"Sauickie, Alex; DiMaio, John",2024-01-09,,,,Prohibits ownership of agricultural land in State by foreign governments and persons.
A-1277,2024_2025,"Affordable housing-delay 4th round of obligations/ litigation until July 1, 2028",AHO,"Sauickie, Alex; Clifton, Robert D.; Auth, Robert",2024-01-09,,,S-0881,"Delays fourth round of affordable housing obligations, including present and prospective need and related litigation, until July 1, 2028."
A-1278,2024_2025,Affordable housing obligations-clarifies scope,AHO,"Sauickie, Alex",2024-01-09,,,S-0880,Clarifies scope of affordable housing obligations.
A-1279,2024_2025,"Enrollment, interdistrict pub sch choice prog-allow choice districts to increase",AED,"Sauickie, Alex",2024-01-09,,,,Allows choice districts to increase enrollment in interdistrict public school choice program to offset certain reductions in State school aid.
A-1280,2024_2025,School Funding Commission-study school funding formula & prepare report,AED,"Sauickie, Alex",2024-01-09,,,,Establishes School Funding Commission to study school funding formula and prepare report that will serve as basis of new formula.
A-1281,2024_2025,Student health surveys-req written permission from guardian before administering,AED,"Sauickie, Alex",2024-01-09,,,S-1352,Requires school districts to receive written permission from parent or legal guardian before administering certain student health surveys.
A-1282,2024_2025,Extraordinary special education State aid-provides for full funding,AED,"Sauickie, Alex",2024-01-09,,,,Provides for full funding of extraordinary special education State aid.
A-1283,2024_2025,"Student Learning Standards, Health & Physical Ed.-directs St Bd of Ed to rescind",AED,"Sauickie, Alex; Azzariti Jr., John V.",2024-01-09,,,S-2117,Directs State Board of Education to rescind New Jersey Student Learning Standards in Comprehensive Health and Physical Education and directs boards of education to establish Parental Advisory Committees and adopt standards for health instruction.
A-1284,2024_2025,"School aid, State-estab. Stabilization Aid for cert dist experiencing reductions",AED,"Sauickie, Alex",2024-01-09,,,,Establishes Stabilization Aid for certain school districts experiencing reductions in State school aid or other budgetary imbalances; establishes Education Rescue Grants for certain school districts experiencing reductions in teaching staff.
A-1285,2024_2025,Polling place-req school used if pub/private/commercial location not available,ASL,"Sauickie, Alex; Clifton, Robert D.",2024-01-09,,,,"Requires schools to be used as polling places only if other public, private, or commercial locations are not available."
A-1286,2024_2025,Pupil transportation aid-provide to school districts that meet certain criteria,AED,"Sauickie, Alex",2024-01-09,,,,Provides additional State pupil transportation aid to school districts that meet certain criteria.
A-1287,2024_2025,Nonpublic school transportation program-create,AED,"Sauickie, Alex",2024-01-09,,,,Creates nonpublic school transportation program; requires consortiums of nonpublic schools to assume responsibility for mandated nonpublic school busing.
A-1288,2024_2025,Hate speech or antisemitic events-proh instit of higher ed authorizing/funding,AHI,"Sauickie, Alex",2024-01-09,,,S-2940,"Prohibits institution of higher education from authorizing, funding, or supporting hate speech or antisemitic events and organizations."
A-1289,2024_2025,"School security aid, nonpublic-makes suppl approp for increase;$19.45M",AED,"Sauickie, Alex",2024-01-09,,,,Makes $19.45 million supplemental appropriation for increased nonpublic school security aid; modifies budget language to increase per pupil amount.
A-1290,2024_2025,Electric public utility svc. outage over 48 hr.-reimburse cost of spoiled items,ATU,"Sauickie, Alex",2024-01-09,,,,Requires electric public utility to reimburse residential or commercial customer for cost of certain spoiled items resulting from service outage more than 48 hours after end of storm.
A-1291,2024_2025,Unmanned aircraft systems-permit to operate to inspect damage to critical infra.,APS,"Sauickie, Alex",2024-01-09,,,,Permits certain entities to operate unmanned aircraft systems to inspect damage to critical infrastructure.
A-1292,2024_2025,Smart meter installation-require to obtain written consent & disclosure prior to,ATU,"Sauickie, Alex",2024-01-09,,,,Requires electric public utilities to obtain written consent and provide written disclosure prior to installing smart meters.
A-1293,2024_2025,Office of Inspector General for Veterans' Facilities-establishes,AMV,"Sauickie, Alex; DeAngelo, Wayne P.",2024-01-09,,,S-0902,Establishes Office of Inspector General for Veterans' Facilities.
A-1294,2024_2025,Indigent Veterans Burial Svcs Fd-prov for voluntary contrib on income tax return,AMV,"Sauickie, Alex",2024-01-09,,,,Provides for voluntary contributions by taxpayers on gross income tax returns to fund burial of indigent veterans.
A-1295,2024_2025,Veterans Outdoor Recovery Task Force-require DMVA establish,AMV,"Sauickie, Alex",2024-01-09,,,S-0949,Requires DMVA establish Veterans Outdoor Recovery Task Force.
A-1296,2024_2025,"Transitional housing, reserved for veterans-permit fair share bonus credit",AHO,"Sauickie, Alex; Dunn, Aura K.; Matsikoudis, Michele",2024-01-09,,,,Permits fair share affordable housing bonus credit for certain transitional housing reserved for occupancy by veterans.
A-1297,2024_2025,Veterans facility-require DMVA establish in Ocean or Monmouth County,AMV,"Sauickie, Alex",2024-01-09,,,,Requires DMVA establish veterans facility in Ocean or Monmouth County.
A-1298,2024_2025,"Revolutionary War sites, cert-estab grant program for preservation; approp funds",ATG,"Sauickie, Alex",2024-01-09,,,S-2576,Establishes grant program in Department of State for preservation of certain Revolutionary War sites; appropriates funds.
A-1299,2024_2025,Agriculture Development Committee-establish program preserving farmland;$50M,ACE,"Sauickie, Alex",2024-01-09,,,,Establishes State Agriculture Development Committee program preserving farmland in danger of being developed for warehouse purposes or other high-density development projects; appropriates $50 million from Global Warming Solutions Fund.
A-1300,2024_2025,"Green building standards, cert-prov credit, construction/retrofitting, warehouse",ACE,"Sauickie, Alex",2024-01-09,,,,Provides CBT credit for construction or retrofitting of warehouse to meet certain green building standards.
A-1301,2024_2025,Siting warehouses-adopt model buffer ordinances detailing regulatory options,ACW,"Sauickie, Alex",2024-01-09,,,,Requires State Planning Commission to adopt model buffer ordinances detailing different regulatory options for siting warehouses; allows conforming updates to municipal master plans and zoning ordinances.
A-1302,2024_2025,Air pollution control permit-requires certain warehouses obtain from DEP,AEN,"Sauickie, Alex",2024-01-09,,,,Requires certain warehouses to obtain air pollution control permit from DEP.
A-1303,2024_2025,"Stormwater impact-req to evaluate cumulative impact, applications w/ warehouses",AEN,"Sauickie, Alex",2024-01-09,,,S-1074,Requires DEP to evaluate cumulative impact of stormwater when reviewing applications associated with warehouse and other high-density development projects.
A-1304,2024_2025,"Office of Citizen Involvement, Land Use, and Planning Advocate-establish",ASL,"Sauickie, Alex",2024-01-09,,,,"Establishes Office of Citizen Involvement, Land Use, and Planning Advocate and transfers basic course in land use law and Office of Planning Advocacy to newly established office."
A-1305,2024_2025,Development of warehouses-require DCA establish optional certification courses,ASL,"Sauickie, Alex",2024-01-09,,,,Requires DCA to establish optional certification courses for planning professionals on development of warehouses and high-density buildings.
A-1306,2024_2025,Qualified constuction projects-provide CBT & GIT credits for completion,ASL,"Sauickie, Alex",2024-01-09,,,,Provides CBT and GIT credits for completion of qualified construction projects at abandoned commercial building sites.
A-1307,2024_2025,Patients-revises requirements for administration of vaccines,AHE,"DePhillips, Christopher P.",2024-01-09,,,,"""Informed Consent for Vaccination Act""; revises requirements for administration of vaccines to patients."
A-1308,2024_2025,Long-Term Care Fac Infectious Disease Preparedness & Home Health Care Study Comm,AHU,"DePhillips, Christopher P.",2024-01-09,,,,"Establishes ""Long-Term Care Facility Infectious Disease Preparedness and Home Health Care Study Commission."""
A-1309,2024_2025,Loan redemption program-provides tax credits to companies contributing,AHI,"DePhillips, Christopher P.; Dunn, Aura K.",2024-01-09,,,S-0809,Provides tax credits to companies contributing to loan and loan redemption program for residents who attend institutions of higher education in State and work at such company upon graduation.
A-1310,2024_2025,State authorities-establish certain ethical standards and financial control req.,ATR,"DePhillips, Christopher P.",2024-01-09,,,,Establishes certain ethical standards and financial control requirements for State authorities.
A-1311,2024_2025,"Health savings accounts, individual-extends federal income tax advantages",ACE,"DePhillips, Christopher P.; Peterson, Erik",2024-01-09,,,,Extends certain federal income tax advantages of individual health savings accounts to individual taxpayers under the New Jersey gross income tax.
A-1312,2024_2025,Service of process-personnel at gated communities/multi-unit complexes allow,AJU,"DePhillips, Christopher P.",2024-01-09,,,,Requires personnel at gated communities and multi-unit complexes to allow service of process.
A-1313,2024_2025,Madison Holleran Proper Reporting Act-in,AHI,"DePhillips, Christopher P.; Barlas, Al; Flynn, Victoria A.",2024-01-09,,,,"""Madison Holleran Proper Reporting Act""; requires institutions of higher education to post information on student suicides and attempted suicides on website."
A-1314,2024_2025,Public utility franchise process-revises and updates,ATU,"DePhillips, Christopher P.",2024-01-09,,,,Revises and updates public utility franchise process; allows State's political subdivisions to revoke franchises; increases certain penalties.
A-1315,2024_2025,Business accelerators and incubators and startup businesses-provides assistance,AST,"DePhillips, Christopher P.; Dunn, Aura K.",2024-01-09,,,S-0126,Provides assistance to business accelerators and incubators and startup businesses located within those business accelerators and incubators.
A-1316,2024_2025,"Fire companies, volunteer-exempts from paying annual charitable registration fee",APS,"DePhillips, Christopher P.; Azzariti Jr., John V.; Barlas, Al",2024-01-09,,,S-0861,Exempts volunteer fire companies from paying annual charitable registration fee.
A-1317,2024_2025,Health care benefit plans-requires election by certain public employees,ASL,"DePhillips, Christopher P.; Coughlin, Craig J.",2024-01-09,,,S-4491,Requires election by certain public employees of certain health care benefit plans; prohibits payments by public employers for waiver of such plans.
A-1318,2024_2025,County office vacancies-concerns timeframe for filling,ASL,"DePhillips, Christopher P.",2024-01-09,,,,"Provides for vacancy in county surrogate, clerk, register of deeds and mortgages, and sheriff offices occurring 70 days before general election to be filled at second succeeding general election."
A-1319,2024_2025,Business entities employed by Gov or Gov's office-conduct certain investigations,ASL,"DePhillips, Christopher P.",2024-01-09,,,,Concerns business entities employed by the Governor or the office of Governor to conduct certain investigations.
A-1320,2024_2025,"Settlements, confidential-bars public entities and employees from entering into",AJU,"DePhillips, Christopher P.",2024-01-09,,,,Bars public entities and public employees from entering into confidential settlements of claims against them; provides that such settlements constitute public records.
A-1321,2024_2025,Surtax imposed on certain businesses-repeals,ACE,"DePhillips, Christopher P.; DiMaio, John",2024-01-09,,,,Repeals surtax imposed on certain businesses.
A-1322,2024_2025,Chemotherapy-test for dihydropyrimidine dehydrogenase deficiency,AHE,"DePhillips, Christopher P.",2024-01-09,,,,Requires physician to offer to test patient for dihydropyrimidine dehydrogenase deficiency prior to patient undergoing chemotherapy.
A-1323,2024_2025,"Highway guard rail along entirety Rt. 208 thru Franklin Lakes, approp up to $10M",ATR,"DePhillips, Christopher P.; Sumter, Shavonda E.; Swain, Lisa",2024-01-09,,,,"Makes supplemental appropriation of up to $10 million to DOT for construction of highway guard rail along entirety of Route 208 through Franklin Lakes, Wyckoff, Hawthorne, Glen Rock, Fair Lawn, and Oakland in sections without highway guard rail, where necessary to ensure health and safety of motorists and residents whose properties abut Route 208."
A-1324,2024_2025,"Investment Council, State-adds member from Judicial Retirement System",ASL,"DePhillips, Christopher P.",2024-01-09,,,,Adds member from Judicial Retirement System to State Investment Council.
A-1325,2024_2025,"Opioid antidote, administered-require involuntary commitment",AHU,"DePhillips, Christopher P.",2024-01-09,,,,Requires involuntary commitment of certain individuals who have been administered opioid antidotes.
A-1326,2024_2025,"Mental health screening, annual-require health insurance coverage",AFI,"DePhillips, Christopher P.; Muñoz, Nancy F.",2024-01-09,,,S-0952,Requires health insurance coverage for annual mental health screening.
A-1327,2024_2025,Campaign contributions-prohibits candidate charges w/crime to use for legal fees,ASL,"DePhillips, Christopher P.",2024-01-09,,,,Prohibits candidates and elected public officials charged with crimes from using campaign contributions for their legal defense.
A-1328,2024_2025,"Veterans, certain surviving spouses-provides gross income tax deduction",AMV,"DePhillips, Christopher P.; Bergen, Brian",2024-01-09,,,,Provides gross income tax deduction to surviving spouses of certain veterans.
A-1329,2024_2025,Suicide prevention training for mental health practitioners-requires annually,AHE,"DePhillips, Christopher P.; Dunn, Aura K.; Murphy, Carol A.",2024-01-09,,,,Requires annual suicide prevention training for mental health practitioners.
A-1330,2024_2025,First responder suicides-requires reporting to DOH,APS,"DePhillips, Christopher P.",2024-01-09,,,,Requires reporting of first responder suicides to DOH.
A-1331,2024_2025,CBT rate-grdually reduces,ACE,"DePhillips, Christopher P.; DiMaio, John; Bergen, Brian",2024-01-09,,,,Gradually reduces CBT rate.
A-1332,2024_2025,"Manufacturing Extension Program, Inc.-supports activities",ALA,"DePhillips, Christopher P.; Speight, Shanique; Barlas, Al",2024-01-09,,,S-2891,"Supports activities of New Jersey Manufacturing Extension Program, Inc."
A-1333,2024_2025,Prop. tax deduction-increase 18% to 30% payments as rent constituting prop taxes,ASL,"DePhillips, Christopher P.; Bergen, Brian",2024-01-09,,,S-1394,"Increases, from 18 percent to 30 percent, amount of rental payments defined as rent constituting property taxes for purposes of deduction from gross income for property tax payments."
A-1334,2024_2025,Taxpayers-provides a one-time deduction of $10K under gross income tax,ACE,"DePhillips, Christopher P.; Bergen, Brian",2024-01-09,,,,"Provides one-time deduction of $10,000 for certain taxpayers under GIT."
A-1335,2024_2025,State pension & annuity funds-proh investing in Chinese pharmaceutical companies,ASL,"DePhillips, Christopher P.",2024-01-09,,,S-1365,Prohibits investment by State of pension and annuity funds in Chinese pharmaceutical companies.
A-1336,2024_2025,Open Public Records Act Study Commission-establishes,ASL,"DePhillips, Christopher P.",2024-01-09,,,S-0959,Establishes Open Public Records Act Study Commission.
A-1337,2024_2025,"CBT rate-reduces; retroactive to January 1, 2020",ACE,"DePhillips, Christopher P.",2024-01-09,,,,"Reduces CBT rate; retroactive to January 1, 2020."
A-1338,2024_2025,"Unemployment Insurance Division, DOLWD-direct State Auditor to audit",ALA,"DePhillips, Christopher P.; Dunn, Aura K.",2024-01-09,,,,Directs State Auditor to audit DOLWD Division of Unemployment Insurance.
A-1339,2024_2025,"Juidicial officer personal identifying information, certain-prohibit disclosure",AJU,"DePhillips, Christopher P.; Dunn, Aura K.",2024-01-09,,,,"Prohibits, under certain circumstances, disclosure of certain personal identifying information, including home address and photographic image, concerning any federal, State or municipal judicial officer, or that judicial officer's immediate family members."
A-1340,2024_2025,Child care costs reimbursement grant program-establish in DCF;$500K,ACF,"DePhillips, Christopher P.; Bergen, Brian",2024-01-09,,,,"Establishes child care costs reimbursement grant program in DCF; appropriates $500,000."
A-1341,2024_2025,Group homes for devel. disab. individuals-concerns electronic monitoring devices,W,"DePhillips, Christopher P.; Matsikoudis, Michele",2024-01-09,,,,"Requires certain group homes to install electronic monitoring devices in common areas, upon request and with uniform resident consent, and to permit consensual use of such devices in private rooms."
A-1342,2024_2025,Nursing homes and assisted living facilities-biennial inspection required,AHE,"DePhillips, Christopher P.; Barlas, Al",2024-01-09,,,S-0980,Requires biennial inspection of nursing homes and assisted living facilities.
A-1343,2024_2025,"Home solar electrical generator-tax deduction, purch./installing battery backups",ATU,"DePhillips, Christopher P.",2024-01-09,,,,Provides gross income tax deduction for costs of purchasing and installing battery backups for certain home solar electrical generators.
A-1344,2024_2025,Food & beverage establishment temp deduction-provide from cert sales/use tax,AOF,"DePhillips, Christopher P.",2024-01-09,,,S-2564,Provides temporary deduction for food and beverage establishments from certain sales and use tax remittances.
A-1345,2024_2025,"Research expenses, targeted industries-increase corporation business tax credit",AST,"DePhillips, Christopher P.; Karabinchak, Robert J.; Tully, Chris",2024-01-09,,,S-1035,Increases qualified research expenses tax credit for corporation business taxpayers engaged in targeted industries; increases basic research payment tax credit; allows research tax credit to be refundable.
A-1346,2024_2025,High-risk pregnancy and reporting of fetal deaths-screening required,ACW,"DePhillips, Christopher P.",2024-01-09,,,,Requires screening of certain high-risk pregnancies and reporting of fetal deaths.
A-1347,2024_2025,Ballot drop box-use within 4 mile radius or within discretion of co. election bd,ASL,"DePhillips, Christopher P.",2024-01-09,,,,Provides that municipality only use drop boxes within four mile radius or within discretion of county elections board.
A-1348,2024_2025,Mail-in ballots-permit canvas early votes before election day; count as received,ASL,"DePhillips, Christopher P.",2024-01-09,,,,Permits county board of elections to begin canvassing early votes before election day under certain conditions; permits county board of elections to begin counting mail-in ballots as mail-in ballots are received by county board.
A-1349,2024_2025,Youth camps-prohibits mandatory mask use,ACF,"DePhillips, Christopher P.",2024-01-09,,,,Prohibits mandatory mask use at youth camps.
A-1350,2024_2025,Protective face coverings-exempt from sales and use tax,AHE,"DePhillips, Christopher P.; Azzariti Jr., John V.",2024-01-09,,,,Exempts protective face coverings from sales and use tax.
A-1351,2024_2025,Public util rate increase-prohibit until conclusion of hearing/BPU determination,ATU,"DePhillips, Christopher P.",2024-01-09,,,,Prohibits public utility from increasing rates until conclusion of hearing and BPU determination that rate increase is just and reasonable.
A-1352,2024_2025,State Capitol Joint Management Commission-modifies membership,AOF,"DePhillips, Christopher P.",2024-01-09,,,,Modifies membership of State Capitol Joint Management Commission.
A-1353,2024_2025,Volunteer Emergency Responder Loan Redemption Program-establish,AHI,"DePhillips, Christopher P.; Webber, Jay",2024-01-09,,,S-2100,Establishes Volunteer Emergency Responder Loan Redemption Program in Higher Education Student Assistance Authority.
A-1354,2024_2025,Child custody loss-psychological exam required to regain custody,ACF,"DePhillips, Christopher P.",2024-01-09,,,,Requires psychological examination when parent loses custody of child and wants to regain custody of child who is in care or custody of grandparent.
A-1355,2024_2025,"Fiscal note, estimate-prohibits release of bill from committee without",AOF,"DePhillips, Christopher P.; Fantasia, Dawn",2024-01-09,,,S-1655,Prohibits bill certified for fiscal note or estimate from being released from committee without fiscal note or estimate.
A-1356,2024_2025,"Health Benefits Commission, State-adds county & municipal representation",ASL,"DePhillips, Christopher P.; Dunn, Aura K.",2024-01-09,,,,Adds county and municipal representation to State Health Benefits Commission.
A-1357,2024_2025,Wi-Fi service on passenger trains-require NJT to provide,ATR,"DePhillips, Christopher P.; Clifton, Robert D.",2024-01-09,,,S-0963,Requires NJT to provide Wi-Fi service on passenger trains.
A-1358,2024_2025,Tenant property taxes-increase gross income tax relief & establish tax credit,AHO,"DePhillips, Christopher P.",2024-01-09,,,S-0182,Increases gross income tax relief based on rent constituting property taxes for residential tenants and establishes refundable gross income tax credit in place of gross income tax deduction for residential tenants.
A-1359,2024_2025,"Angel Investor Tax Credit Act-increase credits, investments in tech businesses",ACE,"DePhillips, Christopher P.",2024-01-09,,,S-1629,"Increases tax credits for investments made in emerging technology businesses under ""New Jersey Angel Investor Tax Credit Act."""
A-1360,2024_2025,"Candidates for Senate & General Assembly-allow to appear together, same petition",ASL,"DePhillips, Christopher P.; Barlas, Al",2024-01-09,,,S-0979,Allows candidates for Senate and General Assembly to appear together in same nominating petition.
A-1361,2024_2025,Core curriculum content-require legislative approval of updates or revisions,AED,"DePhillips, Christopher P.",2024-01-09,,,S-1375,Requires legislative approval of updates or revisions to core curriculum content.
A-1362,2024_2025,Rent constituting property taxes-increase amount for gross income tax deduction,ASL,"DePhillips, Christopher P.",2024-01-09,,,,"Increases, from 18 percent to 30 percent, amount of rent constituting property taxes for purposes of gross income tax deduction for certain tenants."
A-1363,2024_2025,New Jersey Bleacher Safety Act,ACW,"DePhillips, Christopher P.; Barranco, Christian E.",2024-01-09,,,S-2571,"The ""New Jersey Bleacher Safety Act."""
A-1364,2024_2025,Electronic monitoring devices-req cert group homes/supervised apartments install,W,"DePhillips, Christopher P.; Matsikoudis, Michele",2024-01-09,,,,"Requires certain group homes and supervised apartments to install electronic monitoring devices in common areas under certain circumstances; ""Billy Cray's Law."""
A-1365,2024_2025,"School buses-prohibit traveling in left lane of roadway except, turning & emerg",ATR,"DePhillips, Christopher P.",2024-01-09,,,,Prohibits school buses from traveling in left lane of roadway except for turning and emergencies.
A-1366,2024_2025,"Public utilities & pipeline operators-reimburse mun., certain emergency services",ATU,"Marenco, Julio; Morales, Carmen Theresa",2024-01-09,,,,Directs public utilities and pipeline operators to reimburse municipalities for certain emergency services.
A-1367,2024_2025,Homeowners' associations-revises time period at which unit owners assume control,AHO,"Marenco, Julio; Calabrese, Clinton",2024-01-09,,,,Revises time period at which unit owners assume control of homeowners' associations.
A-1368,2024_2025,Internet-organized events-authorizes municipalities to regulate,AST,"Marenco, Julio",2024-01-09,,,,Authorizes municipalities to regulate Internet-organized events.
A-1369,2024_2025,Addi's Law-parent convicted of murdering child's other parent terminate rights,ACF,"Marenco, Julio; Morales, Carmen Theresa",2024-01-09,,,,"""Addi's Law""; makes parent's conviction for murder of child's other parent grounds for termination of parental rights."
A-1370,2024_2025,"Streets policy, complete-DOT implement, consider individuals diagnosed w/autism",ATR,"Marenco, Julio",2024-01-09,,,,Requires DOT to implement complete streets policy that considers persons with certain disabilities.
A-1371,2024_2025,Tourist helicopter operations in NJ-prohibits,ATG,"Marenco, Julio; Ramirez, Jessica; Allen, John",2024-01-09,,,S-4427,Prohibits tourist helicopter operations in New Jersey.
A-1372,2024_2025,Palisades Cliffs Protection & Planning Act-concerns preservation; create council,AEN,"Marenco, Julio; Rodriguez, Gabriel",2024-01-09,,,S-0273,"""Palisades Cliffs Protection and Planning Act""; concerns preservation of Palisades cliffs and creates Palisades Cliffs Preservation Council."
A-1373,2024_2025,Filing false report against law enforcement officers-establish crime,AJU,"Marenco, Julio; Sauickie, Alex",2024-01-09,,,S-1018,Establishes crime of knowingly filing false report against law enforcement officers.
A-1374,2024_2025,Alien/illegal alien-replace reference w/foreign & undocumented foreign nationals,ASL,"Marenco, Julio; Park, Ellen J.; Venezia, Michael",2024-01-09,,,S-2736,"Replaces references to ""alien"" and ""illegal alien"" in statutes with ""foreign national"" and ""undocumented foreign national,"" respectively; prohibits use of those terms by executive branch agencies."
A-1375,2024_2025,Veterans-establishes special license plates,PA,"Marenco, Julio; Moen, William F.; Ramirez, Jessica",2024-01-09,,,,Authorizes creation and issuance of veteran license plates.
A-1376,2024_2025,Hair pieces for cancer patients-health insurance required coverage,AFI,"Marenco, Julio; Morales, Carmen Theresa",2024-01-09,,,,Requires health insurance coverage for hair headpieces for patients receiving chemotherapy treatment for cancer.
A-1377,2024_2025,"Tenants, residential-requires notice of development application be given",AHO,"Marenco, Julio; Morales, Carmen Theresa",2024-01-09,,,,Requires notice of development applications be given to residential tenants on that property.
A-1378,2024_2025,"Corrections officers, adult-requires complete in-service training prog in St fac",APS,"Marenco, Julio; Morales, Carmen Theresa",2024-01-09,,,,Requires adult corrections officers in State facilities to complete in-service training program.
A-1379,2024_2025,Vehicle-provides for forfeiture where weapon was unlawfully possessed,APS,"Marenco, Julio",2024-01-09,,,,Provides for forfeiture of vehicle where weapon was unlawfully possessed.
A-1380,2024_2025,"Cemetery property tax-exempt, loss of revenue-State pymt in lieu of taxes to mun",ASL,"Marenco, Julio",2024-01-09,,,,Establishes State payment in lieu of taxes to municipalities for loss of revenues due to an overburden of tax-exempt cemetery property; appropriates $66 million.
A-1381,2024_2025,Data recording devices in motor vehicles-req disclosure; limits access to data,ACO,"Marenco, Julio",2024-01-09,,,,Requires disclosure of data recording devices in motor vehicles; limits access to recorded data.
A-1382,2024_2025,Animal Cruelty Offender Registry-establishes,ACE,"Marenco, Julio",2024-01-09,,,S-4446,"Establishes Animal Cruelty Offender Registry; prohibits purchase, adoption, and breeding of animals by animal cruelty offenders."
A-1383,2024_2025,"Drone use-sets certain standards, followed by law enforcement agencies",APS,"Marenco, Julio",2024-01-09,,,,Sets forth certain standards to be followed by law enforcement agencies and fire departments when utilizing drones.
A-1384,2024_2025,Public safety employees-prohibits home address release by governmental entities,AJU,"Marenco, Julio",2024-01-09,,,,Prohibits release of home addresses of certain public safety employees by governmental entities.
A-1385,2024_2025,Helicopter-reduces operations at certain aviation facilities licensed by State,ATR,"Marenco, Julio; Ramirez, Jessica",2024-01-09,,,S-0275,Reduces helicopter operations at certain aviation facilities licensed by the State.
A-1386,2024_2025,Vehicular homicide-increase statute of limitations,AJU,"Marenco, Julio",2024-01-09,,,,Increases statute of limitations for prosecution of vehicular homicide.
A-1387,2024_2025,School bus drivers-required to retake certain knowledge and skills tests,ATR,"Haider, Shama A.; Venezia, Michael",2024-01-09,,,,Requires school bus drivers to retake certain knowledge and skills tests.
A-1388,2024_2025,Domestic viol screening-obstetrical provider perform; prevent certain disclosure,ACW,"Haider, Shama A.; Swain, Lisa",2024-01-09,,,S-2006,Requires certain providers to perform intimate partner violence screenings and all health care professionals to take certain actions to prevent perpetrators of intimate partner violence from obtaining copies of victim's medical record.
