bill_number,session_year,session_type,title,sponsors,summary,bill_url
HB506,2023,RS,AN ACT relating to post-retirement options for state and local employees.,W. Thomas; DJ Johnson,"Amend KRS 61.635 to establish a partial lump sum option (PLSO), with and without survivor rights, as a payment option for retiring members of the Kentucky Employees Retirement System (KERS), County Employees Retirement System (CERS), or State Police Retirement System (SPRS); provide that the PLSO shall include a lump-sum payment of 12, 24, 36, 48, or 60 months of payments and a lifetime benefit that is actuarially reduced to reflect the lump-sum payment; require the systems to develop information to assist the member in evaluating the PLSO as a potential payment option; amend KRS 61.637 and 78.5540 to change the required break in employment before a KERS, CERS, or SPRS retiree may return to work with a participating employer from 1 or 3 months, depending upon the position, to 1 month; make technical changes; EFFECTIVE January 1, 2024.",https://apps.legislature.ky.gov/record/23rs/HB506.html
HB507,2023,RS,AN ACT relating to jail construction and declaring an emergency.,J. Bray; M. Meredith; D. Osborne; J. Petrie; B. Reed,"Create a new section of KRS 441.420 to 441.450 to place a moratorium on building, constructing, remodeling, or making other physical changes to local correctional facilites, and the remodeling of local correctional facilities if that remodeling is financed with debt; include an exception in the case that a court of law orders specific construction; provide that the provisions be repealed effective December 31, 2028; EMERGENCY.",https://apps.legislature.ky.gov/record/23rs/HB507.html
HB508,2023,RS,AN ACT relating to residential planned communities.,C. Freeland,"Create a new section of KRS Chapter 381 to allow the appointment of a receiver for a planned community homeowners' association when that association fails to maintain the infrastructure, common area, storm water detention or retention area, or other facility that it is legally obligated to maintain; allow a city to recover funds expended to repair, renovate, maintain, or otherwise bring violations up to code.",https://apps.legislature.ky.gov/record/23rs/HB508.html
HB509,2023,RS,AN ACT relating to criminal procedure.,DJ Johnson,Amend KRS 533.220 to include gender-neutral language.,https://apps.legislature.ky.gov/record/23rs/HB509.html
HB510,2023,RS,AN ACT relating to tax incentives for continuous film production projects.,M. Lockett,"Amend KRS 154.61-010, 154.61-020, and 141.383 to establish a continuous film production aspect of the film industry and motion picture tax credit; cap continuous film production tax incentives at $25 million for calendar year 2024 and each calendar year thereafter; require credit amount to be equal to 35% of approved company's qualifying expenditures and qualifying payroll expenditures that are paid to production crew that are not residents increase credit to 40% if qualifying payroll expenditures are paid to residents; create new section of Subchapter 61 of KRS Chapter 154 to allow recapture of the enhanced film production incentives if the approved company fails to meet the biennial budget requirement of $20 million on all film productions in the Commonwealth.",https://apps.legislature.ky.gov/record/23rs/HB510.html
HB511,2023,RS,AN ACT relating to assisted living communities.,S. Bratcher,Amend KRS 194A.703 to require that each assisted living facility that provides basic health and health-related services and dementia care services be classified as an institutional building and require that any assisted living facility that does not provide basic health and health-related services and dementia care services be classified as a residential building; amend KRS 194A.705 to allow a certified medication aide or an unlicensed staff person who has successfully completed a medication aide training program approved by the Kentucky Board of Nursing to administer preloaded injectable insulin or oral or topical medication; amend KRS 194A.710 to establish multiple categories for assisted living community licensure and allow the Office of Inspector General to promulgate administrative regulations and issue license classifications within the bounds of the categories listed in statute; and amend KRS 194A.717 to require a licensed nurse to be available to communicate with unlicensed staff when the staff is providing delegated nursing tasks and revise the staffing on site requirements.,https://apps.legislature.ky.gov/record/23rs/HB511.html
HB512,2023,RS,AN ACT relating to expungement.,W. Williams,Amend KRS 431.076 to make technical corrections.,https://apps.legislature.ky.gov/record/23rs/HB512.html
HB513,2023,RS,AN ACT relating to ophthalmic dispensers.,W. Williams; L. Willner,Amend KRS 326.080 to require the license renewal fee for practicing ophthalmic dispensing to be established by the Kentucky Board of Ophthalmic Dispensers through promulgation of administrative regulation.,https://apps.legislature.ky.gov/record/23rs/HB513.html
HB514,2023,RS,AN ACT relating to housing appropriations.,J. Blanton,Amend KRS 198A.705 to make technical corrections.,https://apps.legislature.ky.gov/record/23rs/HB514.html
HB515,2023,RS,AN ACT relating to custody.,J. Blanton,Amend KRS 405.020 to allow people other than parents to petition for custody of child if the parents are claimed to be unfit or have waived their superior rights to custody.,https://apps.legislature.ky.gov/record/23rs/HB515.html
HB516,2023,RS,AN ACT relating to the 988 suicide and crisis lifeline fund and making an appropriation therefor.,A. Bowling,Create a new section of KRS Chapter 210 to create the 988 suicide and crisis lifeline fund; establish authorized uses for moneys in the fund; amend KRS 186.162 to add a specialized license plate for the national 988 suicide and crisis lifeline fund; APPROPRIATION.,https://apps.legislature.ky.gov/record/23rs/HB516.html
HB517,2023,RS,AN ACT relating to Tax Increment Financing District Funding.,K. Jackson,Amend KRS 154.30-090 to make technical correction.,https://apps.legislature.ky.gov/record/23rs/HB517.html
HB518,2023,RS,AN ACT relating to reproductive privacy.,L. Burke; L. Swann; C. Aull; T. Bojanowski; G. Brown Jr.; B. Chester-Burton; D. Grossberg; K. Herron; J. Raymond; R. Roberts; S. Stalker; P. Stevenson; L. Willner,"Create new sections of KRS Chapter 311 to establish reproductive rights and define terms; amend KRS 18A.225 to remove the prohibition of insurance coverage for abortion; amend KRS 39A.180 to allow the Governor to suspend statutes related to abortion during a declared emergency;  amend KRS 156.496 to allow a school district to operate a family resource center that provides abortion counseling; amend KRS 205.010 to permit financial aid for an abortion; amend KRS 205.510 to include abortions or induced miscarriages as medical care; amend KRS 205.560 to allow medical aid payments for abortion; amend KRS 211.603 to allow money in the rape crisis trust fund to be used for abortion services or education; amend KRS 212.275 to allow health departments to dispense medication for an abortion; amend KRS 213.101 to remove various reporting requirements; amend various sections to remove penalties associated with performing abortions; amend various sections to conform; repeal, reenact, and amend or repeal and reenact KRS 311.783, 311.7710, 311.820, 311.990, 311.780, 311.810, 311.572, 311.591, 311.686, and 311.852 to conform; repeal KRS 15.241, 213.098, 213.172, 213.174, 213.176, 216B.0435, 216B.200, 216B.202, 216B.204, 216B.206, 216B.208, 216B.210, 304.5-160, 311.710, 311.715, 311.720, 311.723, 311.724, 311.725, 311.727, 311.728, 311.731, 311.732, 311.733, 311.735, 311.750, 311.760, 311.765, 311.770, 311.7701, 311.7702, 311.7703, 311.7704, 311.7705, 311.7706, 311.7707, 311.7708, 311.7709,, 311.7711, 311.772, 311.7731, 311.7733, 311.7734, 311.7735, 311.7737, 311.7739, 311.774, 311.7741, 311.7743, 311.781, 311.7811, 311.782, 311.784, 311.7841, 311.785, 311.786, 311.787, 311.790, 311.800, 311.821, 311.822, 311.823, 311.824, 311.825, 311.826, 311.827, 311.830, 311.992, 315.315.",https://apps.legislature.ky.gov/record/23rs/HB518.html
HB519,2023,RS,AN ACT relating to tourist and convention commissions in counties containing a city of the first class or a consolidated local government and declaring an emergency.,S. McPherson; K. King; D. Osborne; R. Roarx,Amend KRS 91A.370 to add the president and chief executive officer of the Kentucky State Fair Board to the tourist and convention commission in counties containing a city of the first class or consolidated local government; EMERGENCY.,https://apps.legislature.ky.gov/record/23rs/HB519.html
HB520,2023,RS,AN ACT relating to reemployment after retirement and declaring an emergency.,S. McPherson,"Provide that any retiree of the Kentucky Employees Retirement System (KERS), County Employees Retirement System (CERS), or State Police Retirement System (SPRS), who returned to work with a KERS, CERS, or SPRS employer on or after March 6, 2020, but prior to January 1, 2023, shall only be required to observe a one month break in employment; provide that the one month break shall be retroactive to March 6, 2020, and that any KERS, CERS, or SPRS retiree whose retirement was voided but who observed the one month break during this time period shall not be required to repay any benefits the systems has determined were paid in error; EMERGENCY.",https://apps.legislature.ky.gov/record/23rs/HB520.html
HB521,2023,RS,AN ACT relating to assault in the third degree.,W. Lawrence; J. Bray; W. Williams,"Amend KRS 508.025 to include an employee, independent contractor, volunteer, affiliated physician, or other medical professional of a licensed hospital to persons protected by enhanced penalties if assaulted while performing duties.",https://apps.legislature.ky.gov/record/23rs/HB521.html
HB522,2023,RS,AN ACT relating to procurement.,W. Lawrence; B. Reed,"Amend KRS 424.260, relating to local government contracts, to increase amount at which advertisement of bids is required from $30,000 to $40,000.",https://apps.legislature.ky.gov/record/23rs/HB522.html
HB523,2023,RS,AN ACT relating to adoption.,N. Tate,Amend KRS 199.575 to add gender-neutral language.,https://apps.legislature.ky.gov/record/23rs/HB523.html
HB524,2023,RS,AN ACT relating to medical procedures.,N. Tate,"Amend KRS 311.625  relating to medical procedures, to add gender-neutral language.",https://apps.legislature.ky.gov/record/23rs/HB524.html
HB525,2023,RS,AN ACT relating to the regulation of skill games and making an appropriation therefor.,S. Doan; S. Maddox,"Establish KRS Chapter 239 and create new sections to define terms; create the Kentucky Gaming Commission and attach it to the Public Protection Cabinet for administrative purposes; establish requirements for the commissioner and members on the commission; authorize the commission to establish and maintain an office in Frankfort; require the Auditor of Public Accountants to perform an annual audit of the commission; require the commission to promulgate administrative regulations to establish standard forms for the reporting of financial conditions, operational results, gross gaming receipts and adjusted gaming receipts, the amount of prizes paid during specific reporting periods, require periodic financial reports, require annual audits of the financial statements of all licensees regulated under this chapter; authorize the Governor to appoint an executive director; establish qualifications for an executive director of the commission; establish certification requirements for skill games; establish application requirements; authorize the commission to promulgate administrative regulations to establish criminal history checks for applicants; establish fees for initial and renewal license application fees; require decals to appear on every licensed skill game; allow the commission to grant, deny, suspend or revoke a license; allow a license to be transferable subject to the transferee's ability to satisfy all requirements; prohibit the distributor, operator, and establishment from holding multiple licenses; limit an establishment to two terminals per five hundred square feet of public floor common space; limit an establishment to five terminals overall; limit a truck stop to 10 terminals; require terminals to be placed in public floor space visible to patrons and employees; prohibit anyone under the age of 18 from playing a skill game; require an establishment to post problem gaming signage; require all gross profits from a skill game to be subject to a 6% tax; provide penalties for regulated; establish requirements for initial licensure of members on the commission; APPROPRIATION.",https://apps.legislature.ky.gov/record/23rs/HB525.html
HB526,2023,RS,AN ACT relating to licensing.,M. Koch,Amend KRS 312.021 to create gender-neutral language.,https://apps.legislature.ky.gov/record/23rs/HB526.html
HB527,2023,RS,AN ACT relating to licensing.,M. Koch,Amend KRS 309.081 to create gender-neutral language.,https://apps.legislature.ky.gov/record/23rs/HB527.html
HB528,2023,RS,AN ACT relating to coverage for substance use disorder.,J. Raymond; G. Brown Jr.; B. Chester-Burton,"Create a new section of Subtitle 17A of KRS Chapter 304 to require certain health insurance policies, plans, certificates, and contracts to provide coverage for the treatment of substance use disorder by an inpatient facility and an in-home program; create new sections of Subtitles 17C and 38A of KRS Chapter 304 and amend KRS 205.522, 205.6485, 164.2871, and 18A.225 to require limited health service benefit plans, limited health service organizations, Medicaid, the Kentucky Children's Health Insurance Program, state postsecondary institution self-insured employer group health plans, and the state employee health plan to comply with the substance use disorder treatment coverage requirement; apply provisions to policies, plans. certificates, and contracts issued or renewed on or after the effective date of the section; require the Cabinet for Health and Family Services to seek federal approval if deemed necessary; EFFECTIVE, in part, January 1, 2024.",https://apps.legislature.ky.gov/record/23rs/HB528.html
HB529,2023,RS,AN ACT relating to school personnel.,B. Chester-Burton; G. Brown Jr.; D. Grossberg; B. Wesley,"Amend KRS 161.155 to require school districts to provide a teacher or employee leave with no loss of income or benefits for 60 school days following an assault against the teacher or employee that results in a physical injury; define the terms of the leave; require the school district to pay for mental health services of the teacher or employee's choosing during the leave period; amend KRS 158.150 to require a local board of education to adopt a policy requiring expulsion when a student physically assaults or batters school personnel; provide that the policy may permit case-by-case exceptions with the consent of the victim; permit the safety of school personnel to be a factor in issuing suspensions and expulsions of primary school students; amend KRS 158.154 to remove the requirement that a physical injury be serious to require a principal to report an assault to law enforcement; amend KRS 158.155 to require mandatory reporters to report assault, batteries, and abuse of school personnel and students on school property.",https://apps.legislature.ky.gov/record/23rs/HB529.html
HB530,2023,RS,AN ACT relating to workers' compensation for educators.,B. Chester-Burton; G. Brown Jr.; M. Dossett; D. Grossberg,"Create a new section of KRS Chapter 342 to set out when the psychological injuries are valid workers' compensation claims when no physical injury exists; amend KRS 342.0011 to clarify definition of ""injury"" to include psychological injuries experienced by educators.",https://apps.legislature.ky.gov/record/23rs/HB530.html
HB531,2023,RS,AN ACT relating to city meetings.,B. Chester-Burton; G. Brown Jr.; M. Dossett; D. Grossberg,"Amend KRS 83A.130, 83.140, and 83A.150 to require a city's legislative body to create an agenda prior to every meeting that is distributed to members of the body at least 72 hours prior to the meeting and made available to the public at the time of the meeting.",https://apps.legislature.ky.gov/record/23rs/HB531.html
HB532,2023,RS,AN ACT relating to electric utilities.,P. Flannery,"Create a new section of KRS Chapter 96 to require electric utilities that own and operate a municipal electric utility to establish a utility board to administer the functions of the utility; require utility rates, terms of service and customer service to be administered through rules of the board; require rates be fair, just, and reasonable and predicated on the utility cost of service; prohibit commingling of funds between the utility and other local government functions; prohibit the expenditure of utility revenues on any function other than the running of the electric utility; require anyone serving on a utility board to wait one year before serving on the municipal legislative body; require the Kentucky Public Service Commission to provide technical assistance to municipal electric utilities regarding rate setting and provide training for board members in the same manner as is provided to water district commissioners; amend KRS 42.4588 to link eligibility to funds under the Local Government Economic Development Program to compliance with establishing a board and delinking ratemaking and municipal revenue use from the political arena of the city legislative function; amend KRS 96.170 to prohibit a legislative body of a city to set rates for the electric utility; amend KRS 96.200 to prohibit the legislative body of a city from using the revenue from an electric utility for anything other than running the electric utility.",https://apps.legislature.ky.gov/record/23rs/HB532.html
HB533,2023,RS,AN ACT relating to state dealings with companies that engage in politically sensitive company boycotts.,E. Callaway,"Amend KRS 41.472 to add definitions for ""agricultural commodities associated company,"" ""firearms goods or services associated company,"" ""petrochemical commodities associated company,"" ""politically sensitive company boycott,"" and ""social media information company""; amend KRS 41.474 to require the Treasurer to maintain and publish lists of all financial companies that engage in any politically sensitive company boycotts; require state governmental entity divestment in financial companies that engage in politically sensitive company boycotts; amend KRS 41.480 to add definitions for ""agricultural commodities associated company,"" ""firearms goods or services associated company,"" ""petrochemical commodities associated company,"" ""politically sensitive company boycott,"" and ""social media information company""; prohibit a governmental entity from entering into a contract for goods or services with a company unless the contract has a written verification that the company does not and will not engage in any politically sensitive company boycotts; allow a company to provide written verification to the Treasurer that not engaging in a politically sensitive company boycott would violate its religious beliefs; provide that a company that has provided verified documentation of its religious beliefs shall not be advantaged or disadvantaged in the contracting process.",https://apps.legislature.ky.gov/record/23rs/HB533.html
HB534,2023,RS,AN ACT relating to required publications.,S. Dietz; S. Doan; D. Osborne,Amend KRS 424.120 to allow legally required notices in a publication area to be published on a digital newspapers website if that digital newspaper meets certain qualifications; amend KRS 424.145 to allow a local government to publish an advertisement directing the public to its notice website on a digital newspaper website.,https://apps.legislature.ky.gov/record/23rs/HB534.html
HB535,2023,RS,AN ACT relating to criminal justice and making an appropriation therefor.,S. Dietz; B. Chester-Burton; D. Elliott,"Amend KRS 15.280 to define ""criminal justice agency""; to require the Criminal Justice Statistical Analysis Center to collect any criminal justice data within the possession of any federal agency of the federal, state, or local government, or private entity; require the center to design a records information system; provide authorization to the center to expend any general, restricted, or federal funds to carry out its functions; APPROPRIATION.",https://apps.legislature.ky.gov/record/23rs/HB535.html
HB536,2023,RS,AN ACT relating to domestic violence.,S. Dietz,Amend KRS Chapter 209A.122 to remove requirement the the Kentucky State Police report the number of domestic violence and dating violence calls and the number of arrests in response to domestic violence calls;  require the Department of Kentucky State Police to provide the number of orders of protection served and received by law enforcement agencies and number of orders of protection in LINK  to the center; remove the requirement that LINK provide the center with information; remove the requirement that the Division of Kentucky State Medical Examiner's Office provide the center with information; remove the requirement that coroners provide the center with information; amend KRS 15A.190 to identify the uniform reporting form as the JC-3 form; require the Justice and Public Safety Cabinet to promulgate regulations.,https://apps.legislature.ky.gov/record/23rs/HB536.html
HB537,2023,RS,AN ACT relating to nonprofit corporations.,K. Bratcher,Amend KRS 273.303 to permit a dissolving corporation to transfer its assets to any entity engaged in for-profit activities that are substantially similar to those of the dissolving corporation subject to two certain conditions.,https://apps.legislature.ky.gov/record/23rs/HB537.html
HB538,2023,RS,AN ACT relating to discipline of students.,T. Truett; S. Lewis; S. Baker; J. Bauman; J. Blanton; J. Branscum; K. Bratcher; S. Bratcher; B. Chester-Burton; J. Decker; M. Dossett; R. Duvall; C. Fugate; J. Hodgson; M. Imes; K. Jackson; K. King; W. Lawrence; D. Lewis; M. Lockett; M. Pollock; S. Rawlings; B. Reed; S. Riley; T. Smith; K. Timoney; B. Wesley; W. Williams,"Amend KRS 158.150 to require a local board of education to expel a student for at least 12 months if the student makes threats that pose a danger to other students or staff; require a local board of education to adopt a policy requiring disciplinary actions for a student who assaults other students or staff off campus property; allow a local school board to place a student in an alternative education setting in lieu of expulsion, or at the end of an expulsion; allow a teacher to remove a disruptive student from the classroom; provide that a student who is removed from a classroom three times in 30 days shall be considered chronically disruptive and may be suspended; provide that a principal may permanently remove a disruptive student from a classroom and determine the placement of the student, subject to an appeal process; require a local board of education to conduct an expulsion review process to determine whether a student's expulsion shall continue or end.",https://apps.legislature.ky.gov/record/23rs/HB538.html
HB539,2023,RS,AN ACT relating to the regulation of game machines and declaring an emergency.,K. Timoney,Amend KRS 528.010 to make technical corrections; EMERGENCY.,https://apps.legislature.ky.gov/record/23rs/HB539.html
HB540,2023,RS,AN ACT relating to school safety.,K. Timoney; C. Aull; S. Bratcher; G. Brown Jr.; C. Fugate; S. Heavrin; DJ Johnson; R. Palumbo,Amend KRS 158.441 to include private and parochial schools; amend KRS 158.4414 to specify that private and parochial schools can enter memorandums of understanding with local law enforcement agencies or the Department of Kentucky State Police to provide school resource officers.,https://apps.legislature.ky.gov/record/23rs/HB540.html
HB541,2023,RS,AN ACT relating to workforce development.,S. Maddox,Amend KRS 341.125 to add gender-neutral language.,https://apps.legislature.ky.gov/record/23rs/HB541.html
HB542,2023,RS,AN ACT relating to workforce development.,S. Maddox; J. Calloway; S. Doan; M. Hart; F. Rabourn,Amend KRS. 343.090 to make technical corrections.,https://apps.legislature.ky.gov/record/23rs/HB542.html
HB543,2023,RS,AN ACT relating to patient medical records.,R. Raymer,Create a new section of KRS Chapter 422 to establish standards and procedures for access to copies of patient medical records for a patient who is under the age of eighteen.,https://apps.legislature.ky.gov/record/23rs/HB543.html
HB544,2023,RS,AN ACT relating to the regulation of hemp-derived products.,R. Raymer; D. Meade; B. Chester-Burton; B. Reed; W. Williams,"Amend KRS 199.900 relating to the Cabinet for Health and Family Services, to add gender-neutral language.",https://apps.legislature.ky.gov/record/23rs/HB544.html
HB545,2023,RS,AN ACT relating to construction of statutes.,S. Rawlings; D. Elliott; J. Tipton,Amend KRS 446.080 to remove provision relating to the construction of statutes.,https://apps.legislature.ky.gov/record/23rs/HB545.html
HB546,2023,RS,AN ACT relating to the General Assembly and declaring an emergency.,D. Meade,"Create a new section of KRS Chapter 6 to authorize intervention by the President of the Senate and the Speaker of the House of Representatives in actions challenging any legislative act, executive or state agency order, or administrative regulation; establish that any intervention shall be filled within 90 days; reaffirm legislative or other privilege and immunity for the members or staff of the General Assembly or Legislative Research Commission; establish that legislative immunity and legislative privilege shall be applied broadly and shall remain inviolate; require legislative immunity and legislative privilege be preserved for members and staff of the General Assembly; establish that an individual legislator's immunity is personal and may not be waived or abrogated except by the member.",https://apps.legislature.ky.gov/record/23rs/HB546.html
HB547,2023,RS,AN ACT relating to First Amendment rights in public schools.,C. Fugate; J. Petrie; S. Baker; K. Banta; J. Bauman; D. Bentley; J. Blanton; A. Bowling; K. Bratcher; S. Bratcher; J. Bray; R. Bridges; E. Callaway; J. Calloway; J. Decker; R. Dotson; R. Duvall; D. Elliott; D. Frazier Gordon; C. Freeland; J. Gooch Jr.; D. Hale; M. Hart; R. Heath; J. Hodgson; M. Imes; DJ Johnson; J. Justice; K. King; S. Lewis; M. Lockett; S. Maddox; C. Massaroni; B. McCool; D. Meade; K. Moser; J. Nemes; D. Osborne; M. Pollock; P. Pratt; S. Rawlings; B. Reed; S. Rudy; S. Sharp; T. Smith; N. Tate; W. Thomas; K. Timoney; J. Tipton; T. Truett; R. Webber; B. Wesley; R. White,Create a new section of KRS Chapter 158 to prohibit a school district from punishing an employee for engaging in private religious expression otherwise protected by the First Amendment absent a showing of engaging in actual coercion; provide specific examples of protected activity; establish limits of applicability.,https://apps.legislature.ky.gov/record/23rs/HB547.html
HB548,2023,RS,AN ACT relating to the judiciary.,D. Meade,Amend KRS 30A.010 to include gender-neutral language.,https://apps.legislature.ky.gov/record/23rs/HB548.html
HB549,2023,RS,AN ACT relating to small business.,D. Meade,Amend 154.12-330 to make technical corrections.,https://apps.legislature.ky.gov/record/23rs/HB549.html
HB550,2023,RS,AN ACT relating to the commissioner of education.,D. Meade,Amend KRS 156.148 to require the appointment of the commissioner of education to be subject to Senate confirmation in accordance with KRS 11.160.,https://apps.legislature.ky.gov/record/23rs/HB550.html
HB551,2023,RS,AN ACT relating to wagering and making an appropriation therefor.,M. Meredith; A. Gentry; C. Aull; K. Banta; J. Bauman; J. Dixon; P. Flannery; D. Graham; T. Huff; M. Koch; D. Osborne; R. Palumbo; R. Roberts; C. Stevenson; K. Timoney; N. Wilson,"Create a new section of KRS Chapter 230 to establish the wagering administration fund from sports wagering taxes and fees; direct use of that fund toward related administrative expenses of the Public Protection Cabinet; deposit all remaining funds in the Kentucky permanent pension fund; create new sections of KRS Chapter 230 to require the racing commission to institute a system of sports wagering at tracks; limit the types of events upon which wagers may be placed; establish sports wagering licensure requirements; prohibit participants from wagering on events in which they participate and from tampering with the outcome of a sporting event; amend KRS 230.210 to define ""interactive sports wagering technology and service provider,"" ""sporting event,"" and ""sports wagering""; amend KRS 230.215 to declare the intent to allow citizens to enjoy sports wagering and allow the racing commission to promulgate administrative regulations prescribing conditions under which sports wagering is to be conducted; amend KRS 230.990 to penalize participants or licensee employees who wager on sporting events or any person who tampers with the outcome of a sporting event; create a new section of KRS Chapter 138 to define “adjusted gross income” and impose a tax on sports wagering; amend KRS 243.500, 525.090, 528.010, 528.020, 528.070, and 528.080 to exempt sports wagering; amend KRS 68.182, 91.202, 92.282, 230.225, 230.240, 230.260, 230.310, and 230.361 to conform; add severability clause; APPROPRIATION.",https://apps.legislature.ky.gov/record/23rs/HB551.html
HB552,2023,RS,AN ACT relating to geoengineering.,J. Gooch Jr.,"Create a new section of Subchapter 1 of KRS Chapter 224 to define ""solar geoengineering"" and ""weather modification""; prohibit any agency or instrumentality of state or local government from engaging in solar geoengineering or weather modification.",https://apps.legislature.ky.gov/record/23rs/HB552.html
HB553,2023,RS,"AN ACT relating to fiscal matters, making an appropriation therefor, and declaring an emergency.",J. Petrie; B. Reed,Amend the 2022-2024 Executive Branch biennial budget to remove excess General Fund support for the actuarial cost of sick leave benefits for new retirees under the Teachers' Retirement System; APPROPRIATION; EMERGENCY.,https://apps.legislature.ky.gov/record/23rs/HB553.html
HB554,2023,RS,AN ACT relating to revenue.,J. Petrie; B. Reed,Amend KRS 139.785 to make technical corrections.,https://apps.legislature.ky.gov/record/23rs/HB554.html
HB555,2023,RS,AN ACT relating to budget accounts.,J. Petrie; B. Reed,Amend KRS 45.151 make technical corrections.,https://apps.legislature.ky.gov/record/23rs/HB555.html
HB556,2023,RS,AN ACT relating to trade practices.,D. Grossberg; G. Brown Jr.,"Create a new section of KRS Chapter 365 to define terms; prohibit a person from soliciting residential property owners with a prohibited advertisement, offering value in exchange for inspecting residential property owners' roof, or making an insurance claim for damage to the residential property owners' roof, interpreting the residential property owners' insurance policy without a license, and failing to provide a good faith estimate agreeing to repairing a residential property owners' roof pursuant to a property insurance claim; create an exemption when Kentucky is declared to be in a state of emergency.",https://apps.legislature.ky.gov/record/23rs/HB556.html
HB557,2023,RS,AN ACT relating to the Kentucky Commission on Antisemitism.,D. Grossberg; G. Brown Jr.,"Create a new section of KRS Chapter 344 to establish the Kentucky Commission on Antisemitism; set forth the duties and functions of the commission; authorize the commission to hold monthly meetings, seek comment and testimony, and provide research driven proposals; require the commission to submit an annual report.",https://apps.legislature.ky.gov/record/23rs/HB557.html
HB558,2023,RS,AN ACT relating to campaign finance.,D. Grossberg; S. Bratcher; G. Brown Jr.,"Amend KRS 121.015 to define ""expenditure""; amend KRS 121.150 to prohibit candidates, slates of candidates, committees, contributing organizations, or anyone on their behalf from making an expenditure to an intermediary, including subcontractors, for the purpose of making a payment to another person; require that expenditures are made directly to the provider of goods or services.",https://apps.legislature.ky.gov/record/23rs/HB558.html
HB559,2023,RS,AN ACT relating to the judiciary.,D. Osborne,Amend KRS 30A.010 to include gender-neutral language.,https://apps.legislature.ky.gov/record/23rs/HB559.html
HB560,2023,RS,AN ACT relating to revenue.,D. Osborne,Amend KRS 131.580 to make technical corrections.,https://apps.legislature.ky.gov/record/23rs/HB560.html
HB561,2023,RS,AN ACT relating to economic development.,D. Osborne,Amend KRS 154.50-323 to include gender-neutral language.,https://apps.legislature.ky.gov/record/23rs/HB561.html
HB562,2023,RS,AN ACT relating to branch budget bills.,D. Osborne,"Amend KRS 48.310, relating to branch budget bills, to make technical corrections.",https://apps.legislature.ky.gov/record/23rs/HB562.html
HB563,2023,RS,AN ACT relating to consumer protection of financial interests.,D. Graham; G. Brown Jr.,"Create a new section of KRS Chapter 371 to provide that a person is not liable on loans secured by a deed of trust or mortgage unless certain requirements are met; provide that a deed or trust or mortgage is not enforceable against a spouse unless certain requirements are met; amend KRS 65.154 to require state-administered retirement systems and pension plans of local governments obtain spousal acknowledgement on beneficiary forms and forms where an employee selects a payment option that may include a joint and survivor annuity; amend KRS 21.540, 61.542, 61.590, 61.705, 78.5538, 161.480, 161.630, and 161.655 to conform.",https://apps.legislature.ky.gov/record/23rs/HB563.html
HB564,2023,RS,AN ACT relating to public schools.,D. Graham; G. Brown Jr.,Amend KRS 158.297 to make a technical correction.,https://apps.legislature.ky.gov/record/23rs/HB564.html
HB565,2023,RS,AN ACT relating to education.,D. Graham,Amend KRS 156.690 to insert gender-neutral language.,https://apps.legislature.ky.gov/record/23rs/HB565.html
HB566,2023,RS,AN ACT relating to economic development.,D. Graham,Amend KRS 154.10-040 to add gender-neutral language.,https://apps.legislature.ky.gov/record/23rs/HB566.html
HB567,2023,RS,AN ACT relating to transportation.,D. Graham,Amend KRS 186.230 and 186.120 to conform to gender-neutral language.,https://apps.legislature.ky.gov/record/23rs/HB567.html
HB568,2023,RS,AN ACT relating to the public defender system.,J. Nemes; D. Elliott; D. Osborne,"Amend KRS 31.030 to remove references to local plans and local counsel; amend KRS 31.211 to remove references to public advocate fees being held in a local public advocate fund; require that the funds be deposited with the Department of Public Advocacy; amend KRS 31.215 to remove references to attorneys participating in a public advocacy plan; amend KRS 31.219 to remove reference to public advocacy plans; amend KRS 31.235 to remove references to district plans; repeal KRS 31.050, 31.060, 31.065, 31.071, and 31.085; EFFECTIVE July 1, 2024.",https://apps.legislature.ky.gov/record/23rs/HB568.html
HB569,2023,RS,AN ACT relating to unborn human individuals.,J. Nemes; J. Gooch Jr.; K. Timoney,"Amend KRS 311.723, 311.727, 311.735, 311.7704, and 311.782 to allow an abortion when two physicians determine the unborn child has an abnormality that is incompatible with life outside the womb; allow an abortion when the pregnancy is the result of rape or incest and the gestational age of the unborn child is less than 15 weeks; establish recording requirements; amend KRS 211.603, 216B.400, 311.725, 311.7706, 311.7707, 311.772, 311.7735, and 311.787 to conform.",https://apps.legislature.ky.gov/record/23rs/HB569.html
HB570,2023,RS,AN ACT relating to disposition of property.,J. Nemes,Amend KRS 403.190 to state that criminal misconduct against the other spouse may be considered in the disposition of marital property and to exclude retirement or life insurance as marital property in instances of attempted homicide.,https://apps.legislature.ky.gov/record/23rs/HB570.html
HB571,2023,RS,AN ACT relating to wrongful conviction compensation.,J. Nemes; K. Banta; J. Bauman; J. Blanton; L. Burke; S. Doan; N. Kulkarni; S. Rawlings; P. Stevenson,Create a new section of KRS Chapter 411 to establish a cause of action for a person who was wrongfully convicted of a felony in the Commonwealth.,https://apps.legislature.ky.gov/record/23rs/HB571.html
HB572,2023,RS,AN ACT relating to the public advocate.,J. Nemes,"Amend KRS 31.020 to require the appointment of the public advocate by the Public Advocacy Commission, instead of the Governor; amend KRS 31.015 to conform.",https://apps.legislature.ky.gov/record/23rs/HB572.html
