bill_id,session,chamber,action_date,action,order,journal_page
SB0242,2023_2024_RS,Senate,2024-04-30,Died in Committee,3,
SB0242,2023_2024_RS,Senate,2023-02-13,Referred toCommittee on Judiciary,2,93
SB0242,2023_2024_RS,Senate,2023-02-10,Introduced,1,91
SB0243,2023_2024_RS,Senate,2023-04-24,"Approved by Governor on Thursday, April 20, 2023",19,
SB0243,2023_2024_RS,Senate,2023-04-24,"Enrolled and presented to Governor on Friday, April 14, 2023",18,
SB0243,2023_2024_RS,Senate,2023-04-06,Concurred with amendments in conference; Yea: 38 Nay: 0,17,
SB0243,2023_2024_RS,House,2023-03-29,"Motion to accede adopted; Representative Patton, Representative Schreiber and Representative Carmichael appointed as conferees",16,
SB0243,2023_2024_RS,Senate,2023-03-28,"Nonconcurred with amendments; Conference Committee requested; appointedSenator Warren , Senator Wilborn and Senator Corson as conferees",15,
SB0243,2023_2024_RS,House,2023-03-27,Emergency Final Action - Passed as amended; Yea: 123 Nay: 0,14,
SB0243,2023_2024_RS,House,2023-03-27,Committee of the Whole - Be passed as amended,13,
SB0243,2023_2024_RS,House,2023-03-27,Committee of the Whole - Committee Report be adopted,12,
SB0243,2023_2024_RS,House,2023-03-15,Committee Report recommending bill be passed as amended byCommittee on Judiciary,11,
SB0243,2023_2024_RS,House,2023-03-08,"Hearing: Wednesday, March 8, 2023, 3:30 PM Room 582-N",10,
SB0243,2023_2024_RS,House,2023-03-01,Referred toCommittee on Judiciary,9,
SB0243,2023_2024_RS,House,2023-03-01,Received and Introduced,8,
SB0243,2023_2024_RS,Senate,2023-02-23,Emergency Final Action - Passed as amended; Yea: 39 Nay: 0,7,
SB0243,2023_2024_RS,Senate,2023-02-23,Committee of the Whole - Be passed as amended,6,
SB0243,2023_2024_RS,Senate,2023-02-23,Committee of the Whole - Committee Report be adopted,5,
SB0243,2023_2024_RS,Senate,2023-02-21,Committee Report recommending bill be passed as amended byCommittee on Judiciary,4,
SB0243,2023_2024_RS,Senate,2023-02-21,"Hearing: Tuesday, February 21, 2023, 10:30 AM Room 346-S",3,
SB0243,2023_2024_RS,Senate,2023-02-13,Referred toCommittee on Judiciary,2,
SB0243,2023_2024_RS,Senate,2023-02-10,Introduced,1,
SB0244,2023_2024_RS,Senate,2023-04-24,"Approved by Governor on Thursday, April 20, 2023",20,
SB0244,2023_2024_RS,Senate,2023-04-24,"Enrolled and presented to Governor on Friday, April 14, 2023",19,
SB0244,2023_2024_RS,Senate,2023-04-06,Concurred with amendments in conference; Yea: 28 Nay: 8,18,
SB0244,2023_2024_RS,House,2023-04-03,"Motion to accede adopted; Representative Patton, Representative Schreiber and Representative Carmichael appointed as conferees",17,
SB0244,2023_2024_RS,Senate,2023-04-03,"Nonconcurred with amendments; Conference Committee requested; appointedSenator Warren , Senator Wilborn and Senator Corson as conferees",16,
SB0244,2023_2024_RS,House,2023-03-27,Emergency Final Action - Substitute passed; Yea: 121 Nay: 2,15,
SB0244,2023_2024_RS,House,2023-03-27,Committee of the Whole - Substitute bill be passed,14,
SB0244,2023_2024_RS,House,2023-03-27,Committee of the Whole - Committee Report be adopted recommending substitute bill be passed,13,
SB0244,2023_2024_RS,House,2023-03-24,Committee Report recommending substitute bill be passed byCommittee on Judiciary,12,
SB0244,2023_2024_RS,House,2023-03-20,"Hearing: Monday, March 20, 2023, 3:30 PM Room 582-N",11,
SB0244,2023_2024_RS,House,2023-03-10,Referred toCommittee on Judiciary,10,
SB0244,2023_2024_RS,House,2023-03-10,Received and Introduced,9,
SB0244,2023_2024_RS,Senate,2023-03-09,Final Action - Passed; Yea: 35 Nay: 3,8,
SB0244,2023_2024_RS,Senate,2023-03-08,Committee of the Whole - Be passed,7,
SB0244,2023_2024_RS,Senate,2023-03-07,Committee Report recommending bill be passed byCommittee on Judiciary,6,
SB0244,2023_2024_RS,Senate,2023-03-06,"Hearing: Monday, March 6, 2023, 10:30 AM Room 346-S",5,
SB0244,2023_2024_RS,Senate,2023-03-01,Withdrawn from Committee on Ways and Means; Rereferred toCommittee on Judiciary,4,
SB0244,2023_2024_RS,Senate,2023-02-23,Withdrawn from Committee on Judiciary; Referred toCommittee on Ways and Means,3,
SB0244,2023_2024_RS,Senate,2023-02-13,Referred toCommittee on Judiciary,2,
SB0244,2023_2024_RS,Senate,2023-02-10,Introduced,1,
SB0245,2023_2024_RS,Senate,2024-04-30,Died in Committee,3,
SB0245,2023_2024_RS,Senate,2023-02-14,Referred toCommittee on Financial Institutions and Insurance,2,97
SB0245,2023_2024_RS,Senate,2023-02-13,Introduced,1,93
SB0246,2023_2024_RS,Senate,2024-04-30,Died in Committee,3,
SB0246,2023_2024_RS,Senate,2023-02-14,Referred toCommittee on Public Health and Welfare,2,97
SB0246,2023_2024_RS,Senate,2023-02-13,Introduced,1,93
SB0247,2023_2024_RS,Senate,2024-04-30,Died in Committee,4,
SB0247,2023_2024_RS,Senate,2023-03-02,"Hearing: Thursday, March 2, 2023, 9:30 AM Room 548-S",3,
SB0247,2023_2024_RS,Senate,2023-02-14,Referred toCommittee on Assessment and Taxation,2,97
SB0247,2023_2024_RS,Senate,2023-02-13,Introduced,1,93
SB0248,2023_2024_RS,House,2024-04-30,Died in House Committee,20,
SB0248,2023_2024_RS,House,2023-03-13,"Hearing: Monday, March 13, 2023, 3:30 PM Room 346-S",19,
SB0248,2023_2024_RS,House,2023-03-01,Referred toCommittee on Taxation,18,
SB0248,2023_2024_RS,House,2023-03-01,Received and Introduced,17,
SB0248,2023_2024_RS,Senate,2023-02-23,Emergency Final Action - Passed as amended; Yea: 22 Nay: 16,16,
SB0248,2023_2024_RS,Senate,2023-02-23,Committee of the Whole - Be passed as amended,15,
SB0248,2023_2024_RS,Senate,2023-02-23,Committee of the Whole - Amendment by Senator Holland was rejected,14,
SB0248,2023_2024_RS,Senate,2023-02-23,Committee of the Whole - Motion to Amend - Offered by Senator Holland,13,
SB0248,2023_2024_RS,Senate,2023-02-23,Committee of the Whole - Amendment by Senator Sykes was rejected Yea: 16 Nay: 20,12,
SB0248,2023_2024_RS,Senate,2023-02-23,Committee of the Whole - Motion to Amend - Offered by Senator Sykes,11,
SB0248,2023_2024_RS,Senate,2023-02-23,Committee of the Whole - Amendment by Senator Fagg was adopted,10,
SB0248,2023_2024_RS,Senate,2023-02-23,Committee of the Whole - Motion to Amend - Offered by Senator Fagg,9,
SB0248,2023_2024_RS,Senate,2023-02-23,Committee of the Whole - Amendment by Senator Holland was rejected Yea: 10 Nay: 26,8,
SB0248,2023_2024_RS,Senate,2023-02-23,Committee of the Whole - Motion to Amend - Offered by Senator Holland,7,
SB0248,2023_2024_RS,Senate,2023-02-23,Committee of the Whole - Amendment by Senator Petersen was adopted Yea: 20 Nay: 14,6,
SB0248,2023_2024_RS,Senate,2023-02-23,Committee of the Whole - Motion to Amend - Offered by Senator Petersen,5,
SB0248,2023_2024_RS,Senate,2023-02-22,Committee Report recommending bill be passed byCommittee on Assessment and Taxation,4,
SB0248,2023_2024_RS,Senate,2023-02-20,"Hearing: Monday, February 20, 2023, 9:30 AM Room 548-S",3,
SB0248,2023_2024_RS,Senate,2023-02-14,Referred toCommittee on Assessment and Taxation,2,
SB0248,2023_2024_RS,Senate,2023-02-13,Introduced,1,
SB0249,2023_2024_RS,Senate,2024-04-30,Died on Calendar,6,
SB0249,2023_2024_RS,Senate,2024-03-25,Committee of the Whole - Passed over and retain a place on the calendar,5,
SB0249,2023_2024_RS,Senate,2024-01-24,Committee Report recommending substitute bill be passed byCommittee on Federal and State Affairs,4,
SB0249,2023_2024_RS,Senate,2024-01-18,"Hearing: Thursday, January 18, 2024, 10:30 AM Room 144-S",3,
SB0249,2023_2024_RS,Senate,2023-02-15,Referred toCommittee on Federal and State Affairs,2,
SB0249,2023_2024_RS,Senate,2023-02-14,Introduced,1,
SB0250,2023_2024_RS,Senate,2024-04-30,Died in Committee,3,
SB0250,2023_2024_RS,Senate,2023-02-15,Referred toCommittee on Federal and State Affairs,2,104
SB0250,2023_2024_RS,Senate,2023-02-14,Introduced,1,96
SB0251,2023_2024_RS,Senate,2024-04-30,Died in Committee,3,
SB0251,2023_2024_RS,Senate,2023-02-15,Referred toCommittee on Federal and State Affairs,2,104
SB0251,2023_2024_RS,Senate,2023-02-14,Introduced,1,96
SB0252,2023_2024_RS,House,2024-04-30,Died in House Committee,12,
SB0252,2023_2024_RS,House,2023-03-29,Referred toCommittee on Taxation,11,
SB0252,2023_2024_RS,House,2023-03-29,Received and Introduced,10,
SB0252,2023_2024_RS,Senate,2023-03-28,Final Action - Passed as amended; Yea: 24 Nay: 16,9,
SB0252,2023_2024_RS,Senate,2023-03-27,Committee of the Whole - Be passed as further amended,8,
SB0252,2023_2024_RS,Senate,2023-03-27,Committee of the Whole - Amendment by Senator Baumgardner was adopted,7,
SB0252,2023_2024_RS,Senate,2023-03-27,Committee of the Whole - Motion to Amend - Offered by Senator Baumgardner,6,
SB0252,2023_2024_RS,Senate,2023-03-27,Committee of the Whole - Committee Report be adopted,5,
SB0252,2023_2024_RS,Senate,2023-02-22,Committee Report recommending bill be passed as amended byCommittee on Assessment and Taxation,4,
SB0252,2023_2024_RS,Senate,2023-02-21,"Hearing: Tuesday, February 21, 2023, 9:30 AM Room 548-S",3,
SB0252,2023_2024_RS,Senate,2023-02-15,Referred toCommittee on Assessment and Taxation,2,
SB0252,2023_2024_RS,Senate,2023-02-14,Introduced,1,
SB0253,2023_2024_RS,Senate,2024-04-30,Died in Committee,5,
SB0253,2023_2024_RS,Senate,2024-01-31,"Hearing: Wednesday, January 31, 2024, 10:30 AM Room 144-S",4,
SB0253,2023_2024_RS,Senate,2023-03-10,"Hearing: Friday, March 10, 2023, 10:30 AM Room 144-S",3,
SB0253,2023_2024_RS,Senate,2023-02-16,Referred toCommittee on Federal and State Affairs,2,112
SB0253,2023_2024_RS,Senate,2023-02-15,Introduced,1,100
SB0254,2023_2024_RS,Senate,2024-04-30,Died on Calendar,6,
SB0254,2023_2024_RS,Senate,2024-03-25,Committee of the Whole - Passed over and retain a place on the calendar,5,
SB0254,2023_2024_RS,Senate,2024-03-04,Committee Report recommending substitute bill be passed byCommittee on Federal and State Affairs,4,
SB0254,2023_2024_RS,Senate,2024-01-18,"Hearing: Thursday, January 18, 2024, 10:30 AM Room 144-S",3,
SB0254,2023_2024_RS,Senate,2023-02-16,Referred toCommittee on Federal and State Affairs,2,
SB0254,2023_2024_RS,Senate,2023-02-15,Introduced,1,
SB0255,2023_2024_RS,Senate,2024-04-30,Died in Committee,4,
SB0255,2023_2024_RS,Senate,2023-03-22,"Hearing: Wednesday, March 22, 2023, 1:30 PM Room 144-S",3,
SB0255,2023_2024_RS,Senate,2023-02-16,Referred toCommittee on Education,2,112
SB0255,2023_2024_RS,Senate,2023-02-15,Introduced,1,101
SB0256,2023_2024_RS,Senate,2024-04-30,Died in Committee,4,
SB0256,2023_2024_RS,Senate,2023-03-02,"Hearing: Thursday, March 2, 2023, 9:30 AM Room 546-S",3,
SB0256,2023_2024_RS,Senate,2023-02-16,Referred toCommittee on Financial Institutions and Insurance,2,112
SB0256,2023_2024_RS,Senate,2023-02-15,Introduced,1,101
SB0257,2023_2024_RS,Senate,2024-04-30,Died in Committee,3,
SB0257,2023_2024_RS,Senate,2023-02-16,Referred toCommittee on Federal and State Affairs,2,112
SB0257,2023_2024_RS,Senate,2023-02-15,Introduced,1,101
SB0258,2023_2024_RS,Senate,2024-04-30,Died in Committee,4,
SB0258,2023_2024_RS,Senate,2023-03-06,"Hearing: Monday, March 6, 2023, 10:30 AM Room 346-S",3,
SB0258,2023_2024_RS,Senate,2023-02-17,Referred toCommittee on Judiciary,2,117
SB0258,2023_2024_RS,Senate,2023-02-16,Introduced,1,110
SB0259,2023_2024_RS,Senate,2024-04-30,Died in Committee,3,
SB0259,2023_2024_RS,Senate,2023-02-17,Referred toCommittee on Federal and State Affairs,2,117
SB0259,2023_2024_RS,Senate,2023-02-16,Introduced,1,111
SB0260,2023_2024_RS,Senate,2024-04-30,Died in Committee,3,
SB0260,2023_2024_RS,Senate,2023-02-17,Referred toCommittee on Federal and State Affairs,2,117
SB0260,2023_2024_RS,Senate,2023-02-16,Introduced,1,111
SB0261,2023_2024_RS,Senate,2024-04-30,Died in Committee,3,
SB0261,2023_2024_RS,Senate,2023-02-17,Referred toCommittee on Judiciary,2,117
SB0261,2023_2024_RS,Senate,2023-02-16,Introduced,1,111
SB0262,2023_2024_RS,Senate,2024-04-30,Died in Committee,3,
SB0262,2023_2024_RS,Senate,2023-02-17,Referred toCommittee on Federal and State Affairs,2,117
SB0262,2023_2024_RS,Senate,2023-02-16,Introduced,1,111
SB0263,2023_2024_RS,Senate,2024-04-30,Died in Committee,6,
SB0263,2023_2024_RS,Senate,2024-01-09,"Withdrawn from Calendar, Rereferred toCommittee on Assessment and Taxation",5,
SB0263,2023_2024_RS,Senate,2023-03-20,Committee Report recommending bill be passed as amended byCommittee on Assessment and Taxation,4,
SB0263,2023_2024_RS,Senate,2023-03-16,"Hearing: Thursday, March 16, 2023, 9:30 AM Room 548-S",3,
SB0263,2023_2024_RS,Senate,2023-02-17,Referred toCommittee on Assessment and Taxation,2,
SB0263,2023_2024_RS,Senate,2023-02-16,Introduced,1,
SB0264,2023_2024_RS,Senate,2024-04-30,Died in Committee,4,
SB0264,2023_2024_RS,Senate,2024-01-25,"Hearing: Thursday, January 25, 2024, 9:30 AM Room 548-S",3,
SB0264,2023_2024_RS,Senate,2023-02-17,Referred toCommittee on Assessment and Taxation,2,117
SB0264,2023_2024_RS,Senate,2023-02-16,Introduced,1,112
SB0265,2023_2024_RS,House,2024-04-30,Died on House Calendar,13,
SB0265,2023_2024_RS,House,2024-03-25,Committee Report recommending bill be passed as amended byCommittee on Judiciary,12,
SB0265,2023_2024_RS,House,2024-03-13,"Hearing: Wednesday, March 13, 2024, 3:30 PM Room 582-N",11,
SB0265,2023_2024_RS,House,2023-03-29,Referred toCommittee on Judiciary,10,
SB0265,2023_2024_RS,House,2023-03-29,Received and Introduced,9,
SB0265,2023_2024_RS,Senate,2023-03-28,Final Action - Passed as amended; Yea: 40 Nay: 0,8,
SB0265,2023_2024_RS,Senate,2023-03-27,Committee of the Whole - Be passed as amended,7,
SB0265,2023_2024_RS,Senate,2023-03-27,Committee of the Whole - Amendment by Senator Haley was adopted,6,
SB0265,2023_2024_RS,Senate,2023-03-27,Committee of the Whole - Motion to Amend - Offered by Senator Haley,5,
SB0265,2023_2024_RS,Senate,2023-03-23,Committee Report recommending bill be passed byCommittee on Judiciary,4,
SB0265,2023_2024_RS,Senate,2023-03-06,"Hearing: Monday, March 6, 2023, 10:30 AM Room 346-S",3,
SB0265,2023_2024_RS,Senate,2023-02-17,Referred toCommittee on Judiciary,2,
SB0265,2023_2024_RS,Senate,2023-02-16,Introduced,1,
SB0266,2023_2024_RS,Senate,2024-04-30,Died in Committee,3,
SB0266,2023_2024_RS,Senate,2023-02-17,Referred toCommittee on Judiciary,2,117
SB0266,2023_2024_RS,Senate,2023-02-16,Introduced,1,112
SB0267,2023_2024_RS,Senate,2024-04-30,Died in Committee,3,
SB0267,2023_2024_RS,Senate,2023-02-17,Referred toCommittee on Judiciary,2,117
SB0267,2023_2024_RS,Senate,2023-02-16,Introduced,1,112
SB0268,2023_2024_RS,Senate,2024-04-30,Died in Committee,3,
SB0268,2023_2024_RS,Senate,2023-02-21,Referred toCommittee on Federal and State Affairs,2,129
SB0268,2023_2024_RS,Senate,2023-02-20,Introduced,1,120
SB0269,2023_2024_RS,Senate,2024-04-30,Died in Committee,3,
SB0269,2023_2024_RS,Senate,2023-02-21,Referred toCommittee on Federal and State Affairs,2,129
SB0269,2023_2024_RS,Senate,2023-02-20,Introduced,1,120
SB0270,2023_2024_RS,Senate,2024-04-30,Died in Committee,3,
SB0270,2023_2024_RS,Senate,2023-02-22,Referred toCommittee on Judiciary,2,137
SB0270,2023_2024_RS,Senate,2023-02-21,Introduced,1,128
SB0271,2023_2024_RS,Senate,2024-04-29,Motion to override veto failed; Veto sustained; Yea: 21 Nay: 16,30,
SB0271,2023_2024_RS,Senate,2024-04-25,"Vetoed by Governor; Returned to Senate on Wednesday, April 24, 2024",29,
SB0271,2023_2024_RS,Senate,2024-04-25,"Enrolled and presented to Governor on Monday, April 15, 2024",28,
SB0271,2023_2024_RS,Senate,2024-04-05,Conference Committee Report was adopted; Yea: 21 Nay: 12,27,
SB0271,2023_2024_RS,Senate,2024-04-05,Motion to adopt Conference Committee Report. Substitute motion to not adopt and appoint a new conference failed.,26,
SB0271,2023_2024_RS,House,2024-04-05,Conference Committee Report was adopted; Yea: 90 Nay: 30,25,
SB0271,2023_2024_RS,House,2024-04-05,Conference committee report now available,24,
SB0271,2023_2024_RS,House,2024-04-05,"Motion to accede adopted; Representative Tarwater, Representative Borjon and Representative Probst appointed as second conferees",23,
SB0271,2023_2024_RS,Senate,2024-04-05,"Conference Committee Report not adopted; Senator Thompson, Senator Kloos and Senator Faust-Goudeau appointed as second conferees",22,
SB0271,2023_2024_RS,House,2024-04-04,Conference Committee Report was adopted; Yea: 86 Nay: 35,21,
SB0271,2023_2024_RS,House,2024-04-04,Conference committee report now available,20,
SB0271,2023_2024_RS,House,2024-04-01,"Motion to accede adopted; Representative Tarwater, Representative Borjon and Representative Probst appointed as conferees",19,
SB0271,2023_2024_RS,Senate,2024-04-01,"Nonconcurred with amendments; Conference Committee requested; appointedSenator Thompson , Senator Kloos and Senator Faust-Goudeau as conferees",18,
SB0271,2023_2024_RS,House,2024-03-27,Final Action - Substitute passed as amended; Yea: 83 Nay: 40,17,
SB0271,2023_2024_RS,House,2024-03-26,Committee of the Whole - Substitute bill be passed as amended,16,
SB0271,2023_2024_RS,House,2024-03-26,Committee of the Whole - Amendment by Representative Sutton was adopted,15,
SB0271,2023_2024_RS,House,2024-03-26,Committee of the Whole - Motion to Amend - Offered by Representative Sutton,14,
SB0271,2023_2024_RS,House,2024-03-26,Committee of the Whole - Committee Report be adopted recommending substitute bill be passed,13,
SB0271,2023_2024_RS,House,2024-03-14,"Committee Report recommending substitute bill be passed byCommittee on Commerce, Labor and Economic Development",12,
SB0271,2023_2024_RS,House,2024-03-13,"Withdrawn from Committee on Transportation; Referred toCommittee on Commerce, Labor and Economic Development",11,
SB0271,2023_2024_RS,House,2023-03-29,Referred toCommittee on Transportation,10,
SB0271,2023_2024_RS,House,2023-03-29,Received and Introduced,9,
SB0271,2023_2024_RS,Senate,2023-03-28,Final Action - Passed as amended; Yea: 27 Nay: 13,8,
SB0271,2023_2024_RS,Senate,2023-03-27,Committee of the Whole - Be passed as amended,7,
SB0271,2023_2024_RS,Senate,2023-03-27,Committee of the Whole - Committee Report be adopted,6,
SB0271,2023_2024_RS,Senate,2023-03-15,Committee Report recommending bill be passed as amended byCommittee on Transportation,5,
SB0271,2023_2024_RS,Senate,2023-03-08,"Hearing continuation: Wednesday, March 8, 2023, 8:30 AM Room 546-S",4,
SB0271,2023_2024_RS,Senate,2023-03-07,"Hearing: Tuesday, March 7, 2023, 8:30 AM Room 546-S",3,
SB0271,2023_2024_RS,Senate,2023-02-22,Referred toCommittee on Transportation,2,
SB0271,2023_2024_RS,Senate,2023-02-21,Introduced,1,
SB0272,2023_2024_RS,House,2024-04-30,Died on House Calendar,13,
SB0272,2023_2024_RS,House,2024-03-21,Withdrawn from Consent Calendar and placed on General Orders,12,
SB0272,2023_2024_RS,House,2024-03-15,Committee Report recommending bill be passed and placed on Consent Calendar by,11,
SB0272,2023_2024_RS,House,2024-03-12,"Hearing: Tuesday, March 12, 2024, 1:30 PM Room 582-N",10,
SB0272,2023_2024_RS,House,2024-02-28,Referred toCommittee on Transportation,9,
SB0272,2023_2024_RS,House,2024-02-28,Received and Introduced,8,
SB0272,2023_2024_RS,Senate,2024-02-22,Final Action - Passed as amended; Yea: 36 Nay: 4,7,
SB0272,2023_2024_RS,Senate,2024-02-21,Committee of the Whole - Be passed as amended,6,
SB0272,2023_2024_RS,Senate,2024-02-21,Committee of the Whole - Committee Report be adopted,5,
SB0272,2023_2024_RS,Senate,2024-02-20,Committee Report recommending bill be passed as amended byCommittee on Ways and Means,4,
SB0272,2023_2024_RS,Senate,2024-02-14,"Hearing: Wednesday, February 14, 2024, 10:30 AM Room 548-S",3,
SB0272,2023_2024_RS,Senate,2023-02-22,Referred toCommittee on Ways and Means,2,
SB0272,2023_2024_RS,Senate,2023-02-21,Introduced,1,
SB0273,2023_2024_RS,Senate,2024-04-30,Died in Committee,5,
SB0273,2023_2024_RS,Senate,2024-02-28,Withdrawn from Committee on Ways and Means; Rereferred toCommittee on Local Government,4,1596
SB0273,2023_2024_RS,Senate,2024-02-23,Withdrawn from Committee on Local Government; Referred toCommittee on Ways and Means,3,1593
SB0273,2023_2024_RS,Senate,2023-02-22,Referred toCommittee on Local Government,2,137
SB0273,2023_2024_RS,Senate,2023-02-21,Introduced,1,129
SB0274,2023_2024_RS,Senate,2024-04-30,Died in Committee,4,
SB0274,2023_2024_RS,Senate,2023-03-15,"Hearing: Wednesday, March 15, 2023, 9:30 AM Room 548-S",3,
SB0274,2023_2024_RS,Senate,2023-02-22,Referred toCommittee on Assessment and Taxation,2,137
SB0274,2023_2024_RS,Senate,2023-02-21,Introduced,1,129
SB0275,2023_2024_RS,Senate,2024-04-30,Died in Committee,4,
SB0275,2023_2024_RS,Senate,2023-03-23,"Hearing: Thursday, March 23, 2023, 10:30 AM Room 548-S",3,
SB0275,2023_2024_RS,Senate,2023-02-23,Referred toCommittee on Ways and Means,2,160
SB0275,2023_2024_RS,Senate,2023-02-22,Introduced,1,136
SB0276,2023_2024_RS,Senate,2024-04-30,Died in Committee,3,
SB0276,2023_2024_RS,Senate,2023-02-23,Referred toCommittee on Federal and State Affairs,2,160
SB0276,2023_2024_RS,Senate,2023-02-22,Introduced,1,137
SB0277,2023_2024_RS,Senate,2024-04-30,Died in Committee,3,
SB0277,2023_2024_RS,Senate,2023-02-23,Referred toCommittee on Public Health and Welfare,2,160
SB0277,2023_2024_RS,Senate,2023-02-22,Introduced,1,137
SB0278,2023_2024_RS,Senate,2024-04-30,Died in Committee,4,
SB0278,2023_2024_RS,Senate,2023-03-21,"Hearing: Tuesday, March 21, 2023, 1:30 PM Room 548-S",3,
SB0278,2023_2024_RS,Senate,2023-02-23,Referred toCommittee on Utilities,2,160
SB0278,2023_2024_RS,Senate,2023-02-22,Introduced,1,137
SB0279,2023_2024_RS,Senate,2024-04-30,Died in Committee,3,
SB0279,2023_2024_RS,Senate,2023-02-23,Referred toCommittee on Judiciary,2,160
SB0279,2023_2024_RS,Senate,2023-02-22,Introduced,1,137
SB0280,2023_2024_RS,Senate,2024-04-30,Died in Committee,3,
SB0280,2023_2024_RS,Senate,2023-03-01,Referred toCommittee on Judiciary,2,201
SB0280,2023_2024_RS,Senate,2023-02-23,Introduced,1,159
SB0281,2023_2024_RS,Senate,2024-04-30,Died in Committee,3,
SB0281,2023_2024_RS,Senate,2023-03-02,Referred toCommittee on Public Health and Welfare,2,206
SB0281,2023_2024_RS,Senate,2023-03-01,Introduced,1,200
SB0282,2023_2024_RS,Senate,2024-04-30,Died in Committee,4,
SB0282,2023_2024_RS,Senate,2023-03-08,"Hearing: Wednesday, March 8, 2023, 10:30 AM Room 546-S",3,
SB0282,2023_2024_RS,Senate,2023-03-02,Referred toCommittee on Commerce,2,206
SB0282,2023_2024_RS,Senate,2023-03-01,Introduced,1,201
SB0283,2023_2024_RS,Senate,2024-04-30,Died in Committee,5,
SB0283,2023_2024_RS,Senate,2023-03-21,"Hearing: Tuesday, March 21, 2023, 10:30 AM Room 346-S",4,
SB0283,2023_2024_RS,Senate,2023-03-07,Withdrawn from Committee on Federal and State Affairs; Referred toCommittee on Judiciary,3,214
SB0283,2023_2024_RS,Senate,2023-03-03,Referred toCommittee on Federal and State Affairs,2,208
SB0283,2023_2024_RS,Senate,2023-03-02,Introduced,1,204
SB0284,2023_2024_RS,Senate,2024-04-30,Died on Calendar,7,
SB0284,2023_2024_RS,Senate,2024-03-21,Committee Report recommending bill be passed as amended byCommittee on Utilities,6,
SB0284,2023_2024_RS,Senate,2024-03-14,"Hearing: Thursday, March 14, 2024, 1:30 PM Room 548-S",5,
SB0284,2023_2024_RS,Senate,2024-02-28,Withdrawn from Committee on Ways and Means; Rereferred toCommittee on Utilities,4,
SB0284,2023_2024_RS,Senate,2024-02-23,Withdrawn from Committee on Utilities; Referred toCommittee on Ways and Means,3,
SB0284,2023_2024_RS,Senate,2023-03-03,Referred toCommittee on Utilities,2,
SB0284,2023_2024_RS,Senate,2023-03-02,Introduced,1,
SB0285,2023_2024_RS,Senate,2024-04-30,Died in Committee,3,
SB0285,2023_2024_RS,Senate,2023-03-03,Referred toCommittee on Federal and State Affairs,2,208
SB0285,2023_2024_RS,Senate,2023-03-02,Introduced,1,205
SB0286,2023_2024_RS,Senate,2024-04-30,Died in Committee,4,
SB0286,2023_2024_RS,Senate,2024-03-21,Motion to withdraw from Committee on Federal and State Affairs was not adopted. Yea: 7 Nay: 26,3,1749
SB0286,2023_2024_RS,Senate,2023-03-03,Referred toCommittee on Federal and State Affairs,2,208
SB0286,2023_2024_RS,Senate,2023-03-02,Introduced,1,205
SB0287,2023_2024_RS,Senate,2024-04-30,"Approved by Governor on Friday, May 10, 2024",28,
SB0287,2023_2024_RS,Senate,2024-04-30,"Enrolled and presented to Governor on Tuesday, May 7, 2024",27,
SB0287,2023_2024_RS,Senate,2024-04-30,Conference Committee Report was adopted; Yea: 26 Nay: 10,26,
SB0287,2023_2024_RS,Senate,2024-04-30,Motion to suspend Joint Rule 4 (k) to allow consideration adopted;,25,
SB0287,2023_2024_RS,House,2024-04-30,Conference Committee Report was adopted; Yea: 111 Nay: 10,24,
SB0287,2023_2024_RS,House,2024-04-30,Motion to suspend Joint Rule 4 (k) to allow consideration adopted;,23,
SB0287,2023_2024_RS,House,2024-04-30,Conference committee report now available,22,
SB0287,2023_2024_RS,House,2024-04-29,"Motion to accede adopted; Representative Landwehr, Representative Eplee and Representative Ruiz, S. appointed as second conferees",21,
SB0287,2023_2024_RS,Senate,2024-04-29,"Conference Committee Report not adopted; Senator Gossage, Senator Erickson and Senator Pettey appointed as second conferees",20,
SB0287,2023_2024_RS,House,2024-04-05,Conference Committee Report was adopted; Yea: 109 Nay: 10,19,
SB0287,2023_2024_RS,House,2024-04-05,Conference committee report now available,18,
SB0287,2023_2024_RS,House,2024-04-02,"Motion to accede adopted; Representative Landwehr, Representative Eplee and Representative Ruiz, S. appointed as conferees",17,
SB0287,2023_2024_RS,Senate,2024-04-01,"Nonconcurred with amendments; Conference Committee requested; appointedSenator Gossage , Senator Erickson and Senator Pettey as conferees",16,
SB0287,2023_2024_RS,House,2024-03-26,Final Action - Substitute passed as amended; Yea: 85 Nay: 37,15,
SB0287,2023_2024_RS,House,2024-03-25,Committee of the Whole - Substitute bill be passed as amended,14,
SB0287,2023_2024_RS,House,2024-03-25,Committee of the Whole - Amendment by Representative Bryce was adopted,13,
SB0287,2023_2024_RS,House,2024-03-25,Committee of the Whole - Motion to Amend - Offered by Representative Bryce,12,
SB0287,2023_2024_RS,House,2024-03-25,Committee of the Whole - Committee Report be adopted recommending substitute bill be passed,11,
SB0287,2023_2024_RS,House,2024-03-19,Committee Report recommending substitute bill be passed byCommittee on Health and Human Services,10,
SB0287,2023_2024_RS,House,2023-04-03,Referred toCommittee on Health and Human Services,9,
SB0287,2023_2024_RS,House,2023-04-03,Received and Introduced,8,
SB0287,2023_2024_RS,Senate,2023-03-29,Final Action - Passed as amended; Yea: 40 Nay: 0,7,
SB0287,2023_2024_RS,Senate,2023-03-28,Committee of the Whole - Be passed as amended,6,
