bill_number,session,session_type,chamber,action_date,action,journal_page,order
ab0398,2023,RS,Asm.,2024-03-26,Presented to the Governor on 3-26-2024,816,31
ab0398,2023,RS,Asm.,2024-03-29,Report vetoed by the Governor on 3-29-2024,819,32
ab0398,2023,RS,Asm.,2024-05-14,Placed on calendar 5-14-2024 pursuant to Joint Rule 82 (2)(a),,33
ab0398,2023,RS,Asm.,2024-05-15,Failed to pass notwithstanding the objections of the Governor pursuant to Joint Rule 82,844,34
ab0399,2023,RS,Asm.,2023-09-06,"Introduced by Representatives Steffen, C. Anderson, Armstrong, Behnke, Binsfeld, Bodden, Callahan, Clancy, Donovan, Edming, Hurd, Green, Gustafson, Magnafici, Maxey, Murphy, O'Connor, Sinicki, Subeck, Wichgers and Joers; 
cosponsored by Senators James and Ballweg",273,1
ab0399,2023,RS,Asm.,2023-09-06,Read first time and referred to Committee on Ways and Means,273,2
ab0399,2023,RS,Asm.,2023-09-08,Fiscal estimate received,,3
ab0399,2023,RS,Asm.,2023-09-08,Representative Jacobson added as a coauthor,278,4
ab0399,2023,RS,Asm.,2023-09-15,Representative Shankland added as a coauthor,298,5
ab0399,2023,RS,Asm.,2023-09-18,Representative Ratcliff added as a coauthor,298,6
ab0399,2023,RS,Asm.,2023-09-19,Representative Mursau added as a coauthor,299,7
ab0399,2023,RS,Asm.,2023-10-24,Representative Madison added as a coauthor,381,8
ab0399,2023,RS,Asm.,2023-11-22,Representative Haywood added as a coauthor,485,9
ab0399,2023,RS,Asm.,2024-04-15,Failed to pass pursuant to Senate Joint Resolution 1,836,10
ab0400,2023,RS,Asm.,2023-09-06,"Introduced by Representatives Sortwell, Behnke, Bodden, Brooks, Dittrich, Gundrum, Gustafson, Magnafici, Penterman and Wichgers; 
cosponsored by Senators Nass, Stroebel, Cabral-Guevara, Knodl and Tomczyk",273,1
ab0400,2023,RS,Asm.,2023-09-06,Read first time and referred to Committee on Colleges and Universities,273,2
ab0400,2023,RS,Asm.,2023-09-14,Fiscal estimate received,,3
ab0400,2023,RS,Asm.,2024-04-15,Failed to pass pursuant to Senate Joint Resolution 1,836,4
ab0401,2023,RS,Asm.,2023-09-06,"Introduced by Representatives Callahan, Krug, Baldeh, Donovan, Moses, Mursau, Schmidt and Stubbs; 
cosponsored by Senators Wimberger and Knodl",273,1
ab0401,2023,RS,Asm.,2023-09-06,Read first time and referred to Committee on Corrections,273,2
ab0401,2023,RS,Asm.,2023-10-03,Fiscal estimate received,,3
ab0401,2023,RS,Asm.,2024-04-15,Failed to pass pursuant to Senate Joint Resolution 1,836,4
ab0402,2023,RS,Asm.,2023-09-06,"Introduced by Representatives Vining, J. Anderson, Emerson, Andraca, Bare, Behnke, Cabrera, Clancy, Conley, Considine, Drake, Goyke, Hong, Jacobson, Joers, Madison, Moore Omokunde, Ohnstad, Ortiz-Velez, Palmeri, Ratcliff, Shankland, Shelton, Sinicki, Stubbs and Subeck; 
cosponsored by Senators Agard, Smith, Carpenter, Hesselbein, Larson, Spreitzer and Taylor",273,1
ab0402,2023,RS,Asm.,2023-09-06,Read first time and referred to Committee on State Affairs,274,2
ab0402,2023,RS,Asm.,2023-09-15,Fiscal estimate received,,3
ab0402,2023,RS,Asm.,2023-10-05,Fiscal estimate received,,4
ab0402,2023,RS,Asm.,2024-03-07,Representative Neubauer added as a coauthor,797,5
ab0402,2023,RS,Asm.,2024-04-15,Failed to pass pursuant to Senate Joint Resolution 1,836,6
ab0403,2023,RS,Asm.,2023-09-06,"Introduced by Representatives Green, Armstrong, Binsfeld, C. Anderson, Considine, Dittrich, Doyle, Goeben, S. Johnson, Novak, Oldenburg, Ortiz-Velez, Sapik, Schmidt, Shankland, Steffen and Tittl; 
cosponsored by Senators Testin, Wanggaard, Ballweg, Cowles, Felzkowski, Larson, Pfaff, Smith, Spreitzer and Quinn",274,1
ab0403,2023,RS,Asm.,2023-09-06,Read first time and referred to Committee on Education,274,2
ab0403,2023,RS,Asm.,2023-09-08,Fiscal estimate received,,3
ab0403,2023,RS,Asm.,2023-09-28,Public hearing held,,4
ab0403,2023,RS,Asm.,2024-02-14,Representative Emerson added as a coauthor,685,5
ab0403,2023,RS,Asm.,2024-03-18,Representative Andraca added as a coauthor,809,6
ab0403,2023,RS,Asm.,2024-04-15,Failed to pass pursuant to Senate Joint Resolution 1,836,7
ab0404,2023,RS,Asm.,2023-09-06,"Introduced by Representatives Subeck, Jacobson, C. Anderson, J. Anderson, Andraca, Baldeh, Bare, Cabrera, Conley, Drake, Joers, Moore Omokunde, Ohnstad, Ortiz-Velez, Palmeri, Ratcliff, Shelton, Snodgrass, Stubbs and Clancy; 
cosponsored by Senators Smith, Carpenter, Roys, Taylor, Hesselbein, Spreitzer and Larson",274,1
ab0404,2023,RS,Asm.,2023-09-06,Read first time and referred to Committee on Insurance,274,2
ab0404,2023,RS,Asm.,2024-02-14,Representative Emerson added as a coauthor,685,3
ab0404,2023,RS,Asm.,2024-04-15,Failed to pass pursuant to Senate Joint Resolution 1,836,4
ab0405,2023,RS,Asm.,2023-09-06,"Introduced by Representatives Michalski, Maxey, Vining and Dittrich; 
cosponsored by Senator Hutton",274,1
ab0405,2023,RS,Asm.,2023-09-06,Read first time and referred to Joint Committee on Finance,274,2
ab0405,2023,RS,Asm.,2023-09-25,Fiscal estimate received,,3
ab0405,2023,RS,Asm.,2024-04-15,Failed to pass pursuant to Senate Joint Resolution 1,836,4
ab0406,2023,RS,Asm.,2023-09-06,"Introduced by Representative Katsma; 
cosponsored by Senator Marklein",274,1
ab0406,2023,RS,Asm.,2023-09-06,Read first time and referred to Committee on Ways and Means,274,2
ab0406,2023,RS,Asm.,2023-09-06,Read first time and referred to Joint Survey Committee on Tax Exemptions,274,3
ab0406,2023,RS,Asm.,2023-09-14,Assembly Substitute Amendment 1 offered by Representative Katsma,286,4
ab0406,2023,RS,Asm.,2023-09-28,Fiscal estimate received,,5
ab0406,2023,RS,Asm.,2023-09-28,Public hearing held,,6
ab0406,2023,RS,Asm.,2023-10-10,Executive action taken,,7
ab0406,2023,RS,Asm.,2023-10-12,"Report Assembly Substitute Amendment 1 adoption recommended by Committee on Ways and Means, Ayes 12, Noes 0",341,8
ab0406,2023,RS,Asm.,2023-10-12,"Report passage as amended recommended by Committee on Ways and Means, Ayes 12, Noes 0",341,9
ab0406,2023,RS,Asm.,2023-10-12,Referred to committee on Rules,341,10
ab0406,2023,RS,Asm.,2023-10-12,Placed on calendar 10-17-2023 by Committee on Rules,,11
ab0406,2023,RS,Asm.,2023-10-16,Executive action taken by joint survey committee on Tax Exemptions,,12
ab0406,2023,RS,Asm.,2023-10-16,"Report of Joint Survey Committee on Tax Exemptions received, Ayes 9, Noes 0",,13
ab0406,2023,RS,Asm.,2023-10-17,Representative Steffen added as a coauthor,358,14
ab0406,2023,RS,Asm.,2023-10-17,Read a second time,358,15
ab0406,2023,RS,Asm.,2023-10-17,Assembly Substitute Amendment 1 adopted,358,16
ab0406,2023,RS,Asm.,2023-10-17,Ordered to a third reading,358,17
ab0406,2023,RS,Asm.,2023-10-17,Rules suspended,358,18
ab0406,2023,RS,Asm.,2023-10-17,"Read a third time and passed, Ayes 97, Noes 0",358,19
ab0406,2023,RS,Asm.,2023-10-17,Ordered immediately messaged,358,20
ab0406,2023,RS,Sen.,2023-10-17,Received from Assembly,521,21
ab0406,2023,RS,Sen.,2023-10-17,Available for scheduling,,22
ab0406,2023,RS,Sen.,2023-10-17,"Public hearing requirement waived by committee on Senate Organization, pursuant to Senate Rule 18 (1m), Ayes 5, Noes 0",516,23
ab0406,2023,RS,Sen.,2023-10-17,Placed on calendar 10-17-2023 pursuant to Senate Rule 18(1),517,24
ab0406,2023,RS,Sen.,2023-10-17,"Senate Amendment 1 offered by Senators Roys, Larson, Smith, Agard, Carpenter, Hesselbein, L. Johnson, Pfaff, Spreitzer, Taylor and Wirch",520,25
ab0406,2023,RS,Sen.,2023-10-17,Read a second time,535,26
ab0406,2023,RS,Sen.,2023-10-17,"Senate Amendment 1 rejected, Ayes 22, Noes 10",535,27
ab0406,2023,RS,Sen.,2023-10-17,Ordered to a third reading,535,28
ab0406,2023,RS,Sen.,2023-10-17,Rules suspended to give bill its third reading,535,29
ab0406,2023,RS,Sen.,2023-10-17,"Read a third time and concurred in, Ayes 32, Noes 0",535,30
ab0406,2023,RS,Sen.,2023-10-17,Ordered immediately messaged,535,31
ab0406,2023,RS,Asm.,2023-10-18,Received from Senate concurred in,366,32
ab0406,2023,RS,Asm.,2023-10-19,LRB correction (Assembly Substitute Amendment 1),376,33
ab0406,2023,RS,Asm.,2023-10-19,Report correctly enrolled on 10-19-2023,376,34
ab0406,2023,RS,Asm.,2023-10-23,Presented to the Governor on 10-23-2023,379,35
ab0406,2023,RS,Asm.,2023-10-26,Report approved by the Governor on 10-25-2023. 2023 Wisconsin Act 36,387,36
ab0406,2023,RS,Asm.,2023-10-26,Published 10-26-2023,387,37
ab0407,2023,RS,Asm.,2023-09-06,"Introduced by Representatives Armstrong, Behnke, Macco, O'Connor and Schmidt; 
cosponsored by Senators Stroebel, Knodl, Nass and Roys",274,1
ab0407,2023,RS,Asm.,2023-09-06,Read first time and referred to Committee on Housing and Real Estate,274,2
ab0407,2023,RS,Asm.,2024-02-07,Representative O'Connor withdrawn as a coauthor,649,3
ab0407,2023,RS,Asm.,2024-04-15,Failed to pass pursuant to Senate Joint Resolution 1,836,4
ab0408,2023,RS,Asm.,2023-09-06,"Introduced by Representatives Steffen, Armstrong, Andraca, Baldeh, Cabrera, Donovan, Goeben, S. Johnson, Magnafici, Maxey, Melotik, Murphy, Nedweski, O'Connor, Ohnstad, Ortiz-Velez, Schmidt, Sinicki, Subeck, Wichgers and Wittke; 
cosponsored by Senators Hutton, Hesselbein, Nass and Taylor",274,1
ab0408,2023,RS,Asm.,2023-09-06,Read first time and referred to Committee on Ways and Means,274,2
ab0408,2023,RS,Asm.,2023-09-08,Representative Jacobson added as a coauthor,278,3
ab0408,2023,RS,Asm.,2023-09-15,Fiscal estimate received,,4
ab0408,2023,RS,Asm.,2023-09-18,Representative Ratcliff added as a coauthor,298,5
ab0408,2023,RS,Asm.,2023-10-10,Public hearing held,,6
ab0408,2023,RS,Asm.,2023-10-24,Representative Conley added as a coauthor,381,7
ab0408,2023,RS,Asm.,2023-12-12,Executive action taken,,8
ab0408,2023,RS,Asm.,2024-01-17,"Report passage recommended by Committee on Ways and Means, Ayes 7, Noes 0",560,9
ab0408,2023,RS,Asm.,2024-01-17,Referred to joint committee on Finance,560,10
ab0408,2023,RS,Asm.,2024-02-05,Assembly Amendment 1 offered by Representative Steffen,629,11
ab0408,2023,RS,Asm.,2024-02-07,Senator Cowles added as a cosponsor,643,12
ab0408,2023,RS,Asm.,2024-02-07,Executive action taken,,13
ab0408,2023,RS,Asm.,2024-02-12,"Report Assembly Amendment 1 adoption recommended by Joint Committee on Finance, Ayes 15, Noes 0",652,14
ab0408,2023,RS,Asm.,2024-02-12,"Report passage as amended recommended by Joint Committee on Finance, Ayes 15, Noes 0",652,15
ab0408,2023,RS,Asm.,2024-02-12,Referred to committee on Rules,652,16
ab0408,2023,RS,Asm.,2024-02-14,Representative Emerson added as a coauthor,685,17
ab0408,2023,RS,Asm.,2024-02-15,Placed on calendar 2-20-2024 by Committee on Rules,,18
ab0408,2023,RS,Asm.,2024-02-20,Laid on the table,721,19
ab0408,2023,RS,Asm.,2024-04-15,Failed to pass pursuant to Senate Joint Resolution 1,836,20
ab0409,2023,RS,Asm.,2023-09-06,"Introduced by Representative Petryk; 
cosponsored by Senator Stafsholt",274,1
ab0409,2023,RS,Asm.,2023-09-06,Read first time and referred to Committee on Transportation,274,2
ab0409,2023,RS,Asm.,2023-10-10,Public hearing held,,3
ab0409,2023,RS,Asm.,2023-10-11,Representative S. Johnson added as a coauthor,336,4
ab0409,2023,RS,Asm.,2023-10-24,Fiscal estimate received,,5
ab0409,2023,RS,Asm.,2023-10-24,Executive action taken,,6
ab0409,2023,RS,Asm.,2023-12-01,"Report passage recommended by Committee on Transportation, Ayes 13, Noes 0",487,7
ab0409,2023,RS,Asm.,2023-12-01,Referred to committee on Rules,487,8
ab0409,2023,RS,Asm.,2024-01-19,Representative Shankland added as a coauthor,580,9
ab0409,2023,RS,Asm.,2024-02-15,Placed on calendar 2-20-2024 by Committee on Rules,,10
ab0409,2023,RS,Asm.,2024-02-20,Laid on the table,721,11
ab0409,2023,RS,Asm.,2024-04-15,Failed to pass pursuant to Senate Joint Resolution 1,836,12
ab0410,2023,RS,Asm.,2023-09-06,"Introduced by Representatives VanderMeer, Magnafici, Considine, Armstrong, Baldeh, Callahan, Dittrich, Doyle, Goeben, Green, Gundrum, Joers, Kitchens, Maxey, O'Connor, Penterman, Rettinger, Schmidt, Spiros, Stubbs, Summerfield, Tittl, Wichgers and Plumer; 
cosponsored by Senators Stafsholt, Ballweg, Cabral-Guevara, Felzkowski, Hutton, Marklein, Quinn, Spreitzer, Tomczyk and Larson",274,1
ab0410,2023,RS,Asm.,2023-09-06,Read first time and referred to Committee on Regulatory Licensing Reform,274,2
ab0410,2023,RS,Asm.,2023-09-25,LRB correction,306,3
ab0410,2023,RS,Asm.,2023-09-28,Representative C. Anderson added as a coauthor,314,4
ab0410,2023,RS,Asm.,2023-09-29,Fiscal estimate received,,5
ab0410,2023,RS,Asm.,2023-10-05,Representative Billings added as a coauthor,325,6
ab0410,2023,RS,Asm.,2023-10-11,Public hearing held,,7
ab0410,2023,RS,Asm.,2023-10-13,Representative Macco added as a coauthor,347,8
ab0410,2023,RS,Asm.,2023-11-08,Executive action taken,,9
ab0410,2023,RS,Asm.,2023-11-09,"Report passage recommended by Committee on Regulatory Licensing Reform, Ayes 7, Noes 1",443,10
ab0410,2023,RS,Asm.,2023-11-09,Referred to committee on Rules,443,11
ab0410,2023,RS,Asm.,2023-11-09,Placed on calendar 11-14-2023 by Committee on Rules,,12
ab0410,2023,RS,Asm.,2023-11-13,Representative Gustafson added as a coauthor,458,13
ab0410,2023,RS,Asm.,2023-11-14,Representative Subeck added as a coauthor,466,14
ab0410,2023,RS,Asm.,2023-11-14,Laid on the table,466,15
ab0410,2023,RS,Asm.,2024-04-15,Failed to pass pursuant to Senate Joint Resolution 1,836,16
ab0411,2023,RS,Asm.,2023-09-06,"Introduced by Representatives Plumer, Binsfeld, Baldeh, Cabrera, Melotik, Novak, O'Connor, Ortiz-Velez, Rodriguez, Schmidt and Wichgers; 
cosponsored by Senators Tomczyk, Marklein and Taylor",274,1
ab0411,2023,RS,Asm.,2023-09-06,Read first time and referred to Committee on Judiciary,274,2
ab0411,2023,RS,Asm.,2023-10-19,Public hearing held,,3
ab0411,2023,RS,Asm.,2023-10-24,Assembly Amendment 1 offered by Representative Plumer,381,4
ab0411,2023,RS,Asm.,2024-04-15,Failed to pass pursuant to Senate Joint Resolution 1,836,5
ab0412,2023,RS,Asm.,2023-09-06,"Introduced by Representatives Sortwell, Steffen, Behnke, Brandtjen, Dittrich, Donovan, Edming, Goeben, Gustafson, Michalski, Murphy, O'Connor, Tittl and Wichgers; 
cosponsored by Senators Wanggaard, Ballweg, Marklein and Tomczyk",274,1
ab0412,2023,RS,Asm.,2023-09-06,Read first time and referred to Committee on Criminal Justice and Public Safety,274,2
ab0412,2023,RS,Asm.,2023-10-31,Public hearing held,,3
ab0412,2023,RS,Asm.,2023-11-06,Assembly Amendment 1 offered by Representative Sortwell,412,4
ab0412,2023,RS,Asm.,2023-11-16,Executive action taken,,5
ab0412,2023,RS,Asm.,2024-01-04,"Report Assembly Amendment 1 adoption recommended by Committee on Criminal Justice and Public Safety, Ayes 15, Noes 0",527,6
ab0412,2023,RS,Asm.,2024-01-04,"Report passage as amended recommended by Committee on Criminal Justice and Public Safety, Ayes 15, Noes 0",527,7
ab0412,2023,RS,Asm.,2024-01-04,Referred to committee on Rules,527,8
ab0412,2023,RS,Asm.,2024-02-15,Placed on calendar 2-20-2024 by Committee on Rules,,9
ab0412,2023,RS,Asm.,2024-02-20,Laid on the table,722,10
ab0412,2023,RS,Asm.,2024-04-15,Failed to pass pursuant to Senate Joint Resolution 1,836,11
ab0413,2023,RS,Asm.,2023-09-06,"Introduced by Representatives Behnke, Bodden, Brandtjen, Murphy and Wichgers; 
cosponsored by Senators Jacque and Nass",274,1
ab0413,2023,RS,Asm.,2023-09-06,Read first time and referred to Committee on Colleges and Universities,274,2
ab0413,2023,RS,Asm.,2023-09-27,Fiscal estimate received,,3
ab0413,2023,RS,Asm.,2023-09-28,Fiscal estimate received,,4
ab0413,2023,RS,Asm.,2023-10-18,Fiscal estimate received,,5
ab0413,2023,RS,Asm.,2024-01-10,Public hearing held,,6
ab0413,2023,RS,Asm.,2024-01-23,Assembly Amendment 1 offered by Representative Behnke,589,7
ab0413,2023,RS,Asm.,2024-04-15,Failed to pass pursuant to Senate Joint Resolution 1,836,8
ab0414,2023,RS,Asm.,2023-09-06,"Introduced by Representatives Steffen, Murphy, O'Connor, Pronschinske, Sinicki and Wichgers; 
cosponsored by Senators Knodl, Marklein and Nass",274,1
ab0414,2023,RS,Asm.,2023-09-06,Read first time and referred to Committee on Campaigns and Elections,274,2
ab0414,2023,RS,Asm.,2023-10-03,Public hearing held,,3
ab0414,2023,RS,Asm.,2023-10-11,LRB correction,335,4
ab0414,2023,RS,Asm.,2023-10-27,Assembly Amendment 1 offered by Representative Steffen,391,5
ab0414,2023,RS,Asm.,2023-10-31,Executive action taken,,6
ab0414,2023,RS,Asm.,2023-11-03,LRB correction,414,7
ab0414,2023,RS,Asm.,2023-11-06,Representative Subeck added as a coauthor,419,8
ab0414,2023,RS,Asm.,2024-01-18,"Report Assembly Amendment 1 adoption recommended by Committee on Campaigns and Elections, Ayes 5, Noes 2",566,9
ab0414,2023,RS,Asm.,2024-01-18,"Report passage as amended recommended by Committee on Campaigns and Elections, Ayes 7, Noes 0",566,10
ab0414,2023,RS,Asm.,2024-01-18,Referred to committee on Rules,566,11
ab0414,2023,RS,Asm.,2024-01-23,Made a special order of business at 10:17 AM on 1-25-2024 pursuant to Assembly Resolution 23,585,12
ab0414,2023,RS,Asm.,2024-01-25,Representative Gustafson added as a coauthor,602,13
ab0414,2023,RS,Asm.,2024-01-25,Laid on the table,602,14
ab0414,2023,RS,Asm.,2024-04-15,Failed to pass pursuant to Senate Joint Resolution 1,836,15
ab0415,2023,RS,Asm.,2023-09-12,"Introduced by Representatives Oldenburg, Novak, Tranel, Plumer, Mursau and Kitchens",280,1
ab0415,2023,RS,Asm.,2023-09-12,Read first time and referred to Committee on Rules,280,2
ab0415,2023,RS,Asm.,2023-09-12,Made a special order of business at 1:01 PM on 9-14-2023 pursuant to Assembly Resolution 17,284,3
ab0415,2023,RS,Asm.,2023-09-13,Fiscal estimate received,,4
ab0415,2023,RS,Asm.,2023-09-14,Read a second time,292,5
ab0415,2023,RS,Asm.,2023-09-14,"Refused to refer to committee on Campaigns and Elections, Ayes 35, Noes 63",292,6
ab0415,2023,RS,Asm.,2023-09-14,"Assembly Amendment 1 offered by Representatives Oldenburg, Novak, Tranel, Plumer and Mursau",292,7
ab0415,2023,RS,Asm.,2023-09-14,"Assembly Amendment 1 adopted, Ayes 63, Noes 35",292,8
ab0415,2023,RS,Asm.,2023-09-14,"Assembly Amendment 2 offered by Representatives Oldenburg, Novak, Tranel, Plumer and Mursau",292,9
ab0415,2023,RS,Asm.,2023-09-14,"Assembly Amendment 2 adopted, Ayes 64, Noes 34",292,10
ab0415,2023,RS,Asm.,2023-09-14,"Assembly Amendment 3 offered by Representatives Oldenburg, Novak, Tranel, Plumer and Mursau",293,11
ab0415,2023,RS,Asm.,2023-09-14,"Assembly Amendment 3 adopted, Ayes 64, Noes 34",293,12
ab0415,2023,RS,Asm.,2023-09-14,"Assembly Amendment 4 offered by Representatives Oldenburg, Novak, Tranel, Plumer and Mursau",293,13
ab0415,2023,RS,Asm.,2023-09-14,"Assembly Amendment 4 adopted, Ayes 66, Noes 32",293,14
ab0415,2023,RS,Asm.,2023-09-14,"Assembly Amendment 5 offered by Representatives Oldenburg, Novak, Tranel, Plumer and Mursau",293,15
ab0415,2023,RS,Asm.,2023-09-14,"Assembly Amendment 5 adopted, Ayes 66, Noes 32",293,16
ab0415,2023,RS,Asm.,2023-09-14,"Assembly Amendment 6 offered by Representatives Oldenburg, Novak, Tranel, Plumer and Mursau",293,17
ab0415,2023,RS,Asm.,2023-09-14,"Assembly Amendment 6 adopted, Ayes 66, Noes 32",294,18
ab0415,2023,RS,Asm.,2023-09-14,Assembly Amendment 7 offered by Representative Allen,294,19
ab0415,2023,RS,Asm.,2023-09-14,"Assembly Amendment 7 adopted, Ayes 66, Noes 32",294,20
ab0415,2023,RS,Asm.,2023-09-14,Ordered to a third reading,294,21
ab0415,2023,RS,Asm.,2023-09-14,Rules suspended,294,22
ab0415,2023,RS,Asm.,2023-09-14,"Read a third time and passed, Ayes 64, Noes 32",294,23
ab0415,2023,RS,Asm.,2023-09-14,Ordered immediately messaged,295,24
ab0415,2023,RS,Sen.,2023-09-15,Received from Assembly,448,25
ab0415,2023,RS,Sen.,2023-09-15,LRB correction (Assembly Amendment 4),447,26
ab0415,2023,RS,Sen.,2023-09-15,Printed engrossed by the direction of the Senate Chief Clerk-4395,,27
ab0415,2023,RS,Sen.,2023-10-10,"Read first time and referred to committee on Shared Revenue, Elections and Consumer Protection",499,28
ab0415,2023,RS,Sen.,2023-10-18,Fiscal estimate received,,29
ab0415,2023,RS,Sen.,2023-10-19,Public hearing held,,30
ab0415,2023,RS,Sen.,2024-01-22,"Withdrawn from committee on Shared Revenue, Elections and Consumer Protection and rereferred to committee on Senate Organization pursuant to Senate Rule 46(2)(c)",740,31
ab0415,2023,RS,Sen.,2024-01-22,Available for scheduling,,32
ab0415,2023,RS,Sen.,2024-01-22,Placed on calendar 1-23-2024 pursuant to Senate Rule 18(1),739,33
ab0415,2023,RS,Sen.,2024-01-23,Read a second time,741,34
ab0415,2023,RS,Sen.,2024-01-23,Senate Substitute Amendment 1 offered by Senator LeMahieu,741,35
ab0415,2023,RS,Sen.,2024-01-23,"Senate Substitute Amendment 1 adopted, Ayes 18, Noes 13",741,36
ab0415,2023,RS,Sen.,2024-01-23,Ordered to a third reading,742,37
ab0415,2023,RS,Sen.,2024-01-23,Rules suspended to give bill its third reading,742,38
ab0415,2023,RS,Sen.,2024-01-23,"Read a third time and concurred in as amended, Ayes 17, Noes 14",742,39
ab0415,2023,RS,Sen.,2024-01-23,Ordered immediately messaged,742,40
ab0415,2023,RS,Asm.,2024-01-24,Received from Senate amended and concurred in as amended (Senate Substitute Amendment 1 adopted),591,41
ab0415,2023,RS,Asm.,2024-01-24,"Senate Substitute Amendment 1 concurred in, Ayes 63, Noes 35",592,42
ab0415,2023,RS,Asm.,2024-01-24,Action ordered immediately messaged,592,43
ab0415,2023,RS,Asm.,2024-01-24,Report correctly enrolled on 1-24-2024,592,44
ab0415,2023,RS,Asm.,2024-01-24,Presented to the Governor on 1-24-2024 by directive of the Speaker,592,45
ab0415,2023,RS,Asm.,2024-01-30,Report vetoed by the Governor on 1-30-2024,617,46
ab0415,2023,RS,Asm.,2024-05-14,Placed on calendar 5-14-2024 pursuant to Joint Rule 82 (2)(a),,47
ab0415,2023,RS,Asm.,2024-05-15,Failed to pass notwithstanding the objections of the Governor pursuant to Joint Rule 82,844,48
ab0416,2023,RS,Asm.,2023-09-19,"Introduced by Representatives Plumer, Spiros, Rozar, Novak, Edming, Brooks, Magnafici, Behnke, Brandtjen, Donovan, Goeben, Murphy, O'Connor and Mursau; 
cosponsored by Senators Felzkowski, Testin, Ballweg, Cowles, Nass, Feyen, Marklein, Stafsholt and Taylor",296,1
ab0416,2023,RS,Asm.,2023-09-19,Read first time and referred to Committee on Insurance,296,2
ab0416,2023,RS,Asm.,2023-09-20,Representative S. Johnson added as a coauthor,300,3
ab0416,2023,RS,Asm.,2023-09-21,Representative Rettinger added as a coauthor,303,4
ab0416,2023,RS,Asm.,2023-10-11,Representative Subeck added as a coauthor,336,5
ab0416,2023,RS,Asm.,2023-10-13,Fiscal estimate received,,6
ab0416,2023,RS,Asm.,2023-10-24,Executive action taken,,7
ab0416,2023,RS,Asm.,2023-10-26,Representative Jacobson added as a coauthor,388,8
ab0416,2023,RS,Asm.,2023-11-08,"Report passage recommended by Committee on Insurance, Ayes 11, Noes 0",434,9
ab0416,2023,RS,Asm.,2023-11-08,Referred to committee on Rules,434,10
ab0416,2023,RS,Asm.,2023-11-09,Placed on calendar 11-14-2023 by Committee on Rules,,11
ab0416,2023,RS,Asm.,2023-11-13,Representatives C. Anderson and Gustafson added as coauthors,458,12
ab0416,2023,RS,Asm.,2023-11-14,Representative Cabrera added as a coauthor,467,13
ab0416,2023,RS,Asm.,2023-11-14,Laid on the table,467,14
ab0416,2023,RS,Asm.,2024-04-15,Failed to pass pursuant to Senate Joint Resolution 1,836,15
ab0417,2023,RS,Asm.,2023-09-19,"Introduced by Representatives J. Anderson, Allen, Baldeh, Cabrera, Conley, Goeben, Joers, Moore Omokunde, Ortiz-Velez, Palmeri, Ratcliff, Sinicki, Snodgrass, Stubbs, Subeck and Jacobson; 
cosponsored by Senators Spreitzer, Carpenter, Hesselbein and Larson",296,1
ab0417,2023,RS,Asm.,2023-09-19,Read first time and referred to Committee on Consumer Protection,296,2
ab0417,2023,RS,Asm.,2023-11-01,Fiscal estimate received,,3
ab0417,2023,RS,Asm.,2024-04-15,Failed to pass pursuant to Senate Joint Resolution 1,836,4
ab0418,2023,RS,Asm.,2023-09-19,"Introduced by Representatives Rozar, Armstrong, Baldeh, Conley, Edming, Ohnstad, Oldenburg, Ortiz-Velez, Palmeri, Petryk, Shankland, Sinicki, Steffen, Stubbs and Subeck; 
cosponsored by Senators Feyen and Quinn",296,1
ab0418,2023,RS,Asm.,2023-09-19,"Read first time and referred to Committee on Health, Aging and Long-Term Care",296,2
ab0418,2023,RS,Asm.,2023-10-09,Representative Joers added as a coauthor,328,3
ab0418,2023,RS,Asm.,2023-10-12,Senator Carpenter added as a cosponsor,342,4
ab0418,2023,RS,Asm.,2023-10-16,Representative Ratcliff added as a coauthor,349,5
ab0418,2023,RS,Asm.,2023-10-16,Fiscal estimate received,,6
ab0418,2023,RS,Asm.,2024-01-17,Public hearing held,,7
ab0418,2023,RS,Asm.,2024-01-31,Executive action taken,,8
ab0418,2023,RS,Asm.,2024-02-20,Representative Emerson added as a coauthor,716,9
ab0418,2023,RS,Asm.,2024-03-13,"Report passage recommended by Committee on Health, Aging and Long-Term Care, Ayes 13, Noes 1",801,10
ab0418,2023,RS,Asm.,2024-03-13,Referred to committee on Rules,801,11
ab0418,2023,RS,Asm.,2024-04-15,Failed to pass pursuant to Senate Joint Resolution 1,836,12
ab0419,2023,RS,Asm.,2023-09-19,"Introduced by Representatives Oldenburg, Tranel, Mursau, Novak, O'Connor, Schmidt, Subeck and Kitchens; 
cosponsored by Senators Cowles, Ballweg and Cabral-Guevara",296,1
ab0419,2023,RS,Asm.,2023-09-19,Read first time and referred to Committee on Agriculture,296,2
ab0419,2023,RS,Asm.,2023-09-26,Fiscal estimate received,,3
ab0419,2023,RS,Asm.,2023-10-11,Public hearing held,,4
ab0419,2023,RS,Asm.,2023-11-06,Assembly Substitute Amendment 1 offered by Representative Oldenburg,412,5
ab0419,2023,RS,Asm.,2023-12-05,Assembly Substitute Amendment 2 offered by Representative Oldenburg,491,6
ab0419,2023,RS,Asm.,2023-12-07,Executive action taken,,7
ab0419,2023,RS,Asm.,2023-12-11,Senator Cabral-Guevara withdrawn as a cosponsor,511,8
ab0419,2023,RS,Asm.,2024-02-19,"Report Assembly Substitute Amendment 2 adoption recommended by Committee on Agriculture, Ayes 14, Noes 0",704,9
